player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
bogutan01,27.8,1.1,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,30.580000000000002,96.13606060606061,bogutan01-2013
landrca01,23.583333333333332,-1,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,-23.583333333333332,96.13606060606061,landrca01-2013
greendr01,10.2,0.8,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,8.16,96.13606060606061,greendr01-2013
ezelife01,9.25,-1.4,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,-12.95,96.13606060606061,ezelife01-2013
leeda02,7.816666666666666,-0.2,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,-1.5633333333333335,96.13606060606061,leeda02-2013
jefferi01,5,-0.7,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,-3.5,96.13606060606061,jefferi01-2013
biedran01,2.9,-0.9,201305120GSW-GSW,201305120GSW-SAS,GSW-2013,1,2013,-2.61,96.13606060606061,biedran01-2013
leonaka01,37.333333333333336,9.1,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,339.73333333333335,69.15294871794872,leonaka01-2013
parketo01,34.233333333333334,6.4,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,219.09333333333336,69.15294871794872,parketo01-2013
greenda02,31.933333333333334,7.6,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,242.69333333333333,69.15294871794872,greenda02-2013
duncati01,30.183333333333334,-0.8,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,-24.14666666666667,69.15294871794872,duncati01-2013
splitti01,25.433333333333334,2.8,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,71.21333333333332,69.15294871794872,splitti01-2013
ginobma01,24.833333333333332,-0.7,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,-17.383333333333333,69.15294871794872,ginobma01-2013
diawbo01,21.716666666666665,2.7,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,58.635,69.15294871794872,diawbo01-2013
josepco01,13.766666666666667,0.1,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,1.376666666666667,69.15294871794872,josepco01-2013
bonnema01,6.5,0.9,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,5.8500000000000005,69.15294871794872,bonnema01-2013
nealga01,4.766666666666667,-1.9,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,-9.056666666666667,69.15294871794872,nealga01-2013
mcgratr01,4.033333333333333,3,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,12.1,69.15294871794872,mcgratr01-2013
millspa02,2.8666666666666667,1.2,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,3.44,69.15294871794872,millspa02-2013
blairde01,2.4,-1.9,201305140SAS-SAS,201305140SAS-GSW,SAS-2013,1,2013,-4.56,69.15294871794872,blairde01-2013
thompkl01,42.18333333333333,-1.7,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-71.71166666666666,27.32986111111111,thompkl01-2013
curryst01,40.43333333333333,5.5,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,222.38333333333333,27.32986111111111,curryst01-2013
jackja01,32.3,4.7,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,151.81,27.32986111111111,jackja01-2013
barneha02,30.65,-0.1,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-3.065,27.32986111111111,barneha02-2013
ezelife01,23.2,-1.2,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-27.84,27.32986111111111,ezelife01-2013
bogutan01,20.25,-0.4,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-8.1,27.32986111111111,bogutan01-2013
landrca01,17.25,3,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,51.75,27.32986111111111,landrca01-2013
leeda02,12.4,3.3,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,40.92,27.32986111111111,leeda02-2013
biedran01,11.583333333333334,0,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,0,27.32986111111111,biedran01-2013
greendr01,8.233333333333333,-3.4,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-27.99333333333333,27.32986111111111,greendr01-2013
bazemke01,0.8833333333333333,-0.5,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,-0.44166666666666665,27.32986111111111,bazemke01-2013
machasc01,0.6166666666666667,0.4,201305160GSW-GSW,201305160GSW-SAS,GSW-2013,0,2013,0.2466666666666667,27.32986111111111,machasc01-2013
curryst01,57.93333333333333,8.7,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,504.0199999999999,74.57766666666666,curryst01-2013
barneha02,52.7,0.9,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,47.43000000000001,74.57766666666666,barneha02-2013
jackja01,41.56666666666667,-3.1,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,-128.85666666666668,74.57766666666666,jackja01-2013
greendr01,38.25,2.3,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,87.975,74.57766666666666,greendr01-2013
bogutan01,36.96666666666667,3.8,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,140.47333333333333,74.57766666666666,bogutan01-2013
thompkl01,31.8,3.1,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,98.58,74.57766666666666,thompkl01-2013
landrca01,14.066666666666666,-0.9,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,-12.66,74.57766666666666,landrca01-2013
ezelife01,12,0.8,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,9.600000000000001,74.57766666666666,ezelife01-2013
jefferi01,2.716666666666667,-0.8,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,-2.1733333333333333,74.57766666666666,jefferi01-2013
bazemke01,1.9833333333333334,0.7,201305060SAS-GSW,201305060SAS-SAS,GSW-2013,0,2013,1.3883333333333332,74.57766666666666,bazemke01-2013
thompkl01,46.6,16.5,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,768.9,112.96625,thompkl01-2013
curryst01,43.016666666666666,-0.7,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,-30.111666666666665,112.96625,curryst01-2013
barneha02,39.31666666666667,0.1,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,3.931666666666667,112.96625,barneha02-2013
greendr01,32.666666666666664,1.1,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,35.93333333333334,112.96625,greendr01-2013
bogutan01,29.466666666666665,3.1,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,91.34666666666666,112.96625,bogutan01-2013
jackja01,22.333333333333332,-0.2,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,-4.466666666666667,112.96625,jackja01-2013
landrca01,13.766666666666667,3.8,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,52.31333333333333,112.96625,landrca01-2013
ezelife01,12.833333333333334,-1.1,201305080SAS-GSW,201305080SAS-SAS,GSW-2013,1,2013,-14.116666666666669,112.96625,ezelife01-2013
leonaka01,41.45,6.9,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,286.00500000000005,77.75583333333334,leonaka01-2013
duncati01,38.18333333333333,5,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,190.91666666666666,77.75583333333334,duncati01-2013
parketo01,35,9,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,315,77.75583333333334,parketo01-2013
greenda02,33.333333333333336,1.4,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,46.666666666666664,77.75583333333334,greenda02-2013
ginobma01,27.783333333333335,2.7,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,75.01500000000001,77.75583333333334,ginobma01-2013
diawbo01,20.1,4,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,80.4,77.75583333333334,diawbo01-2013
splitti01,18.916666666666668,-2.7,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,-51.07500000000001,77.75583333333334,splitti01-2013
nealga01,10.45,0.3,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,3.135,77.75583333333334,nealga01-2013
josepco01,7.916666666666667,1,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,7.916666666666667,77.75583333333334,josepco01-2013
bonnema01,6.15,-3.4,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,-20.91,77.75583333333334,bonnema01-2013
blairde01,0.36666666666666664,0,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,0,77.75583333333334,blairde01-2013
millspa02,0.36666666666666664,0,201305100GSW-SAS,201305100GSW-GSW,SAS-2013,1,2013,0,77.75583333333334,millspa02-2013
leonaka01,45.4,-2.7,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,-122.58,48.877,leonaka01-2013
duncati01,42.68333333333333,1.9,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,81.09833333333333,48.877,duncati01-2013
parketo01,40.53333333333333,1.3,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,52.693333333333335,48.877,parketo01-2013
greenda02,39.416666666666664,1.8,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,70.95,48.877,greenda02-2013
ginobma01,36.78333333333333,11.3,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,415.6516666666667,48.877,ginobma01-2013
splitti01,18.766666666666666,3.2,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,60.053333333333335,48.877,splitti01-2013
nealga01,17.533333333333335,-2.4,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,-42.080000000000005,48.877,nealga01-2013
diawbo01,12.133333333333333,-2,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,-24.266666666666666,48.877,diawbo01-2013
josepco01,8.6,-0.1,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,-0.86,48.877,josepco01-2013
bonnema01,3.15,-0.6,201305120GSW-SAS,201305120GSW-GSW,SAS-2013,0,2013,-1.89,48.877,bonnema01-2013
barneha02,38.583333333333336,4.6,201305140SAS-GSW,201305140SAS-SAS,GSW-2013,0,2013,177.48333333333332,-5.3167948717948725,barneha02-2013
thompkl01,35.583333333333336,-9.2,201305140SAS-GSW,201305140SAS-SAS,GSW-2013,0,2013,-327.3666666666667,-5.3167948717948725,thompkl01-2013
curryst01,34.75,-5.5,201305140SAS-GSW,201305140SAS-SAS,GSW-2013,0,2013,-191.125,-5.3167948717948725,curryst01-2013
jackja01,30.633333333333333,2.2,201305140SAS-GSW,201305140SAS-SAS,GSW-2013,0,2013,67.39333333333333,-5.3167948717948725,jackja01-2013
landrca01,25.583333333333332,4.4,201305140SAS-GSW,201305140SAS-SAS,GSW-2013,0,2013,112.56666666666668,-5.3167948717948725,landrca01-2013
