"","player","TVORP","year","time"
"63","thompmy01",0.53875,1989,"regular"
"64","coopemi01",1.51125,1989,"regular"
"65","abdulka01",-0.0256756756756756,1989,"regular"
"66","campbto01",-0.415873015873016,1989,"regular"
"67","lampje01",-0.489189189189189,1989,"regular"
"68","mcnamma01",-0.474358974358974,1989,"regular"
"69","riverda01",-0.268085106382979,1989,"regular"
"70","ricegl01",1.88125,2000,"regular"
"71","onealsh01",9.38101265822785,2000,"regular"
"72","greenac01",0.821951219512195,2000,"regular"
"73","fishede01",0.203846153846154,2000,"regular"
"74","harpero01",1.38125,2000,"regular"
"75","shawbr01",0.414864864864865,2000,"regular"
"76","foxri01",0.525609756097561,2000,"regular"
"77","luety01",5.89805981832114e-17,2000,"regular"
"78","georgde01",-0.202040816326531,2000,"regular"
"79","sallejo01",-0.133333333333333,2000,"regular"
"80","jacobsa01",-0.266666666666667,2000,"regular"
"81","knightr01",-0.441269841269841,2000,"regular"
"82","horryro01",2.32105263157895,2000,"regular"
"83","celesjo01",-1.31875,2000,"regular"
"84","bryanko01",5.64545454545455,2000,"regular"
"85","onealsh01",7.87972972972973,2001,"regular"
"86","bryanko01",5.71470588235294,2001,"regular"
"87","grantho01",1.3,2001,"regular"
"88","rideris01",-0.519402985074627,2001,"regular"
"89","harpero01",1.08085106382979,2001,"regular"
"90","foxri01",1.40121951219512,2001,"regular"
"91","georgde01",-1.16610169491525,2001,"regular"
"92","shawbr01",0.54375,2001,"regular"
"93","luety01",-0.526315789473684,2001,"regular"
"94","fostegr01",-0.351612903225806,2001,"regular"
"95","madsema01",-0.458571428571429,2001,"regular"
"96","horryro01",0.677215189873418,2001,"regular"
"97","penbemi01",0.166037735849057,2001,"regular"
"98","medvest01",-0.0285714285714286,2001,"regular"
"99","fishede01",1.62,2001,"regular"
"100","bryanko01",5.28625,2002,"regular"
"101","onealsh01",7.5134328358209,2002,"regular"
"102","foxri01",0.734146341463415,2002,"regular"
"103","hunteli01",0.215853658536585,2002,"regular"
"104","horryro01",3.02716049382716,2002,"regular"
"105","richmmi01",-0.203125,2002,"regular"
"106","shawbr01",0.458620689655172,2002,"regular"
"107","walkesa01",1.02608695652174,2002,"regular"
"108","medvest01",-0.0366197183098591,2002,"regular"
"109","mccoyje01",-0.104761904761905,2002,"regular"
"110","georgde01",1.01829268292683,2002,"regular"
"111","penbemi01",1.33333333333333,2002,"regular"
"112","crispjo01",-0.75,2002,"regular"
"113","fishede01",1.81714285714286,2002,"regular"
"114","madsema01",0.0305084745762712,2002,"regular"
"115","bryanko01",7.7390243902439,2003,"regular"
"116","fishede01",0.497560975609756,2003,"regular"
"117","horryro01",1.5925,2003,"regular"
"118","georgde01",0.232394366197183,2003,"regular"
"119","walkesa01",-0.202985074626866,2003,"regular"
"120","medvest01",-1.17758620689655,2003,"regular"
"121","murratr01",-0.590322580645161,2003,"regular"
"122","shawbr01",0.195833333333333,2003,"regular"
"123","pargoja01",-0.697058823529412,2003,"regular"
"124","samakso01",-0.176923076923077,2003,"regular"
"125","rushka01",-0.944736842105263,2003,"regular"
"126","foxri01",0.603947368421053,2003,"regular"
"127","onealsh01",6.67462686567164,2003,"regular"
"128","madsema01",-0.577777777777778,2003,"regular"
"129","fishede01",0.51219512195122,2004,"regular"
"130","paytoga01",2.87560975609756,2004,"regular"
"131","georgde01",0.801219512195122,2004,"regular"
"132","onealsh01",5.04925373134328,2004,"regular"
"133","malonka01",3.27142857142857,2004,"regular"
"134","grantho01",0.298181818181818,2004,"regular"
"135","russebr01",0.494444444444444,2004,"regular"
"136","rushka01",-0.0486111111111111,2004,"regular"
"137","pargoja01",-0.792307692307692,2004,"regular"
"138","waltolu01",0.602777777777778,2004,"regular"
"139","bryanko01",5.87846153846154,2004,"regular"
"140","sampsja01",-2.86229373536173e-18,2004,"regular"
"141","medvest01",-0.513235294117647,2004,"regular"
"142","cookbr01",0.231428571428571,2004,"regular"
"143","udokaim01",-0.4,2004,"regular"
"144","foxri01",-0.397368421052632,2004,"regular"
"145","cartema01",-1.75,2004,"regular"
"146","odomla01",3.95375,2006,"regular"
"147","bryanko01",8.145,2006,"regular"
"148","parkesm01",1.46585365853659,2006,"regular"
"149","profila01",0.04,2006,"regular"
"150","georgde01",0.501408450704225,2006,"regular"
"151","brownkw01",-0.291666666666667,2006,"regular"
"152","mihmch01",0.0542372881355932,2006,"regular"
"153","vujacsa01",-0.0987804878048781,2006,"regular"
"154","greende01",-0.466666666666667,2006,"regular"
"155","medvest01",0.05,2006,"regular"
"156","mckieaa01",-0.0571428571428571,2006,"regular"
"157","cookbr01",0.732098765432099,2006,"regular"
"158","bynuman01",-0.73695652173913,2006,"regular"
"159","wafervo01",-1.13125,2006,"regular"
"160","waltolu01",0.369565217391304,2006,"regular"
"161","turiaro01",-0.1,2006,"regular"
"162","jacksji01",-1.01538461538462,2006,"regular"
"163","odomla01",2.53571428571429,2007,"regular"
"164","parkesm01",0.0231707317073171,2007,"regular"
"165","evansma01",-0.126315789473684,2007,"regular"
"166","waltolu01",1.61166666666667,2007,"regular"
"167","vujacsa01",0.263013698630137,2007,"regular"
"168","bynuman01",0.453658536585366,2007,"regular"
"169","radmavl01",-0.276363636363636,2007,"regular"
"170","cookbr01",0.229230769230769,2007,"regular"
"171","farmajo01",0.126388888888889,2007,"regular"
"172","turiaro01",0.405555555555556,2007,"regular"
"173","bryanko01",6.48311688311688,2007,"regular"
"174","brownkw01",0.958536585365854,2007,"regular"
"175","willish01",0.253333333333333,2007,"regular"
"176","mckieaa01",-0.49,2007,"regular"
"177","bryanko01",6.30243902439024,2008,"regular"
"178","waltolu01",0.816216216216216,2008,"regular"
"179","fishede01",0.936585365853659,2008,"regular"
"180","brownkw01",0.0565217391304348,2008,"regular"
"181","turiaro01",1.03974358974359,2008,"regular"
"182","farmajo01",1.43536585365854,2008,"regular"
"183","bynuman01",3.71714285714286,2008,"regular"
"184","evansma01",1.15714285714286,2008,"regular"
"185","cookbr01",-1.33333333333333,2008,"regular"
"186","mihmch01",-1.50434782608696,2008,"regular"
"187","karlco01",0.217647058823529,2008,"regular"
"188","radmavl01",1.02769230769231,2008,"regular"
"189","vujacsa01",1.15972222222222,2008,"regular"
