"","player","year","RVORP","PVORP","win","DVORP"
"1","thomais01",1985,6.55185185185185,7.61111111111111,FALSE,1.05925925925926
"2","roundda01",1985,0.685714285714286,0.988888888888889,FALSE,0.303174603174603
"3","tripuke01",1985,1.55636363636364,4.92468720124527e-17,FALSE,-1.55636363636364
"4","laimbbi01",1985,2.39268292682927,0.855555555555555,FALSE,-1.53712737127372
"5","tylerte01",1985,0.99390243902439,1.3,FALSE,0.30609756097561
"6","johnsvi01",1985,1.20121951219512,1.95555555555556,FALSE,0.75433604336044
"7","curetea01",1985,-0.1,0.688888888888889,FALSE,0.788888888888889
"8","bensoke01",1985,0.883333333333333,1.04444444444444,FALSE,0.161111111111107
"9","campbto01",1985,-0.678571428571429,-0.3,FALSE,0.378571428571429
"10","jonesma01",1985,-0.153191489361702,0.5,FALSE,0.653191489361702
"11","steppbr01",1985,0.0333333333333333,-0.725,FALSE,-0.758333333333333
"12","longjo01",1985,0.522727272727273,0.566666666666667,FALSE,0.0439393939393939
"13","thomais01",1986,5.25194805194805,7.2,FALSE,1.94805194805195
"14","tripuke01",1986,2.54567901234568,0.25,FALSE,-2.29567901234568
"15","laimbbi01",1986,1.93170731707317,2.3,FALSE,0.36829268292683
"16","johnsvi01",1986,1.77848101265823,0.875,FALSE,-0.90348101265823
"17","curetea01",1986,0.2175,1.25,FALSE,1.0325
"18","bensoke01",1986,0.830555555555556,-1.2,FALSE,-2.03055555555556
"19","campbto01",1986,-0.21219512195122,-2.15,FALSE,-1.93780487804878
"20","longjo01",1986,0.296774193548387,-0.6,FALSE,-0.896774193548387
"21","dumarjo01",1986,0.425609756097561,3.6,FALSE,3.17439024390244
"22","mahorri01",1986,-0.655,-1.75,FALSE,-1.095
"23","nevitch01",1986,-0.004,0,FALSE,0.004
"24","thomais01",1987,4.0641975308642,7.65333333333333,FALSE,3.58913580246913
"25","laimbbi01",1987,3.05609756097561,2.88666666666667,FALSE,-0.16943089430894
"26","johnsvi01",1987,2.03205128205128,1.67333333333333,FALSE,-0.35871794871795
"27","campbto01",1987,-0.8075,0.275,FALSE,1.0825
"28","dumarjo01",1987,0.605063291139241,2.09333333333333,FALSE,1.48827004219409
"29","mahorri01",1987,0.0095238095238095,1.04666666666667,FALSE,1.03714285714286
"30","nevitch01",1987,-0.190243902439024,-0.633333333333333,FALSE,-0.443089430894309
"31","dantlad01",1987,2.88518518518519,3.42666666666667,FALSE,0.54148148148148
"32","greensi02",1987,0.195,0.377777777777778,FALSE,0.182777777777778
"33","sallejo01",1987,1.06951219512195,0.253333333333333,FALSE,-0.816178861788617
"34","rodmade01",1987,0.777922077922078,0.166666666666667,FALSE,-0.611255411255411
"35","nimphku01",1987,-0.125,-1.725,FALSE,-1.6
"36","thomais01",1988,3.72222222222222,7.75217391304348,FALSE,4.02995169082126
"37","laimbbi01",1988,3.07682926829268,2.86086956521739,FALSE,-0.21595970307529
"38","johnsvi01",1988,0.535365853658537,0.995652173913043,FALSE,0.460286320254506
"39","dumarjo01",1988,1.8,1.66086956521739,FALSE,-0.13913043478261
"40","mahorri01",1988,1.30597014925373,-1.07826086956522,FALSE,-2.38423101881895
"41","nevitch01",1988,-0.423529411764706,-0.3,FALSE,0.123529411764706
"42","dantlad01",1988,3.49275362318841,3.83913043478261,FALSE,0.3463768115942
"43","sallejo01",1988,2.13170731707317,2.63478260869565,FALSE,0.50307529162248
"44","rodmade01",1988,1.94878048780488,0.439130434782609,FALSE,-1.50965005302227
"45","lewisra01",1988,-0.352,0.00999999999999999,FALSE,0.362
"46","edwarja01",1988,-0.673076923076923,0.75,FALSE,1.42307692307692
"47","russewa01",1988,-0.5,0.114285714285714,FALSE,0.614285714285714
"48","thomais01",1989,3.44875,4.95882352941176,TRUE,1.51007352941176
"49","laimbbi01",1989,3.47037037037037,2.68235294117647,TRUE,-0.7880174291939
"50","johnsvi01",1989,2.21951219512195,2.15882352941176,TRUE,-0.0606886657101899
"51","longjo01",1989,-0.208333333333333,0.575,TRUE,0.783333333333333
"52","dumarjo01",1989,2.87971014492754,3.02352941176471,TRUE,0.14381926683717
"53","mahorri01",1989,1.29027777777778,1.18823529411765,TRUE,-0.10204248366013
"54","sallejo01",1989,1.22686567164179,2.75294117647059,TRUE,1.5260755048288
"55","rodmade01",1989,2.30609756097561,1.14705882352941,TRUE,-1.1590387374462
"56","edwarja01",1989,-0.205263157894737,0.0058823529411765,TRUE,0.211145510835914
"57","willimi02",1989,-0.510204081632653,0.975,TRUE,1.48520408163265
"58","dembofe01",1989,-0.448387096774194,-0.3,TRUE,0.148387096774194
"59","aguirma01",1989,1.77222222222222,1.95882352941176,TRUE,0.18660130718954
"60","hillgr01",2000,5.77432432432432,-0.8,FALSE,-6.57432432432432
