player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
baileth01,38,-0.7,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-26.599999999999998,12.681818181818183,baileth01-1985
dantlad01,38,1.2,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,45.6,12.681818181818183,dantlad01-1985
griffda01,34,-3.3,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-112.19999999999999,12.681818181818183,griffda01-1985
greenri01,29,8.5,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,246.5,12.681818181818183,greenri01-1985
kelleri01,27,4.5,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,121.5,12.681818181818183,kelleri01-1985
wilkije01,24,-2.5,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-60,12.681818181818183,wilkije01-1985
stockjo01,17,-3,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-51,12.681818181818183,stockjo01-1985
roberfr01,16,-1,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-16,12.681818181818183,roberfr01-1985
paultbi01,9,-1.3,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-11.700000000000001,12.681818181818183,paultbi01-1985
hansebo01,6,1.1,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,6.6000000000000005,12.681818181818183,hansebo01-1985
mannipa01,2,-1.6,198504300DEN-UTA,198504300DEN-DEN,UTA-1985,0,1985,-3.2,12.681818181818183,mannipa01-1985
drexlcl01,37,2.5,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,92.5,21.833333333333332,drexlcl01-1985
valenda01,32,3,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,96,21.833333333333332,valenda01-1985
vandeki01,31,3.8,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,117.8,21.833333333333332,vandeki01-1985
carrke01,28,-0.5,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,-14,21.833333333333332,carrke01-1985
bowiesa01,26,1.6,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,41.6,21.833333333333332,bowiesa01-1985
paxsoji02,22,-0.6,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,-13.2,21.833333333333332,paxsoji02-1985
norriau01,21,1.3,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,27.3,21.833333333333332,norriau01-1985
thompmy01,17,-2.8,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,-47.599999999999994,21.833333333333332,thompmy01-1985
coltest01,15,-2.8,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,-42,21.833333333333332,coltest01-1985
schefto01,4,2.6,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,10.4,21.833333333333332,schefto01-1985
thompbe01,4,-1.7,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,-6.8,21.833333333333332,thompbe01-1985
kerseje01,3,0,198504300LAL-POR,198504300LAL-LAL,POR-1985,0,1985,0,21.833333333333332,kerseje01-1985
cheekma01,40,7.6,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,304,102.57499999999999,cheekma01-1985
malonmo01,39,2.8,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,109.19999999999999,102.57499999999999,malonmo01-1985
ervinju01,36,8.1,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,291.59999999999997,102.57499999999999,ervinju01-1985
barklch01,34,4.8,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,163.2,102.57499999999999,barklch01-1985
toneyan01,33,-1.1,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,-36.300000000000004,102.57499999999999,toneyan01-1985
richacl01,23,0.3,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,6.8999999999999995,102.57499999999999,richacl01-1985
jonesbo01,20,-3,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,-60,102.57499999999999,jonesbo01-1985
johnscl01,15,2.8,198504300MIL-PHI,198504300MIL-MIL,PHI-1985,1,1985,42,102.57499999999999,johnscl01-1985
birdla01,44,5.4,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,237.60000000000002,73.7375,birdla01-1985
johnsde01,43,3.4,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,146.2,73.7375,johnsde01-1985
parisro01,40,-4.9,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,-196,73.7375,parisro01-1985
mchalke01,38,7.4,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,281.2,73.7375,mchalke01-1985
aingeda01,29,6.7,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,194.3,73.7375,aingeda01-1985
maxwece01,16,-2,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,-32,73.7375,maxwece01-1985
willira01,16,-2.5,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,-40,73.7375,willira01-1985
wedmasc01,14,-0.1,198505020DET-BOS,198505020DET-DET,BOS-1985,0,1985,-1.4000000000000001,73.7375,wedmasc01-1985
baileth01,46,5,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,230,32.57272727272727,baileth01-1985
dantlad01,43,0.3,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,12.9,32.57272727272727,dantlad01-1985
greenri01,33,8.2,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,270.59999999999997,32.57272727272727,greenri01-1985
wilkije01,33,-4.4,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-145.20000000000002,32.57272727272727,wilkije01-1985
griffda01,28,-0.7,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-19.599999999999998,32.57272727272727,griffda01-1985
roberfr01,22,3.7,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,81.4,32.57272727272727,roberfr01-1985
stockjo01,20,-3.8,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-76,32.57272727272727,stockjo01-1985
kelleri01,17,-1,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-17,32.57272727272727,kelleri01-1985
mannipa01,15,1.7,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,25.5,32.57272727272727,mannipa01-1985
hansebo01,7,-0.5,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-3.5,32.57272727272727,hansebo01-1985
paultbi01,1,-0.8,198505020DEN-UTA,198505020DEN-DEN,UTA-1985,0,1985,-0.8,32.57272727272727,paultbi01-1985
presspa01,44,6.2,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,272.8,65.66,presspa01-1985
cummite01,39,1.4,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,54.599999999999994,65.66,cummite01-1985
moncrsi01,37,4.6,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,170.2,65.66,moncrsi01-1985
hodgecr01,26,1.7,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,44.199999999999996,65.66,hodgecr01-1985
listeal01,24,6.9,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,165.60000000000002,65.66,listeal01-1985
piercri01,22,2.2,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,48.400000000000006,65.66,piercri01-1985
mokespa01,18,-5.4,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,-97.2,65.66,mokespa01-1985
breuera01,14,-0.3,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,-4.2,65.66,breuera01-1985
thomppa01,10,1.6,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,16,65.66,thomppa01-1985
greveke01,6,-2.3,198505030PHI-MIL,198505030PHI-PHI,MIL-1985,0,1985,-13.799999999999999,65.66,greveke01-1985
worthja01,43,0.4,198505030POR-LAL,198505030POR-POR,LAL-1985,1,1985,17.2,64.73333333333333,worthja01-1985
