"","player","year","RVORP","PVORP"
"1","jamesle01",2010,11.1578947368421,11.7545454545455
"2","jamesle01",2015,6.79130434782609,8.505
"3","jamesle01",2016,8.06578947368421,10.5714285714286
"4","jamesle01",2017,7.45675675675676,10.1833333333333
"5","jamesle01",2018,8.21829268292683,12.6863636363636
"6","parkean01",2010,0.997530864197531,2.2
"7","willima01",2010,2.71304347826087,0.790909090909091
"8","willima01",2016,0.234146341463415,-1.25384615384615
"9","varejan01",2010,1.99473684210526,0.427272727272727
"10","onealsh01",2010,0.890566037735849,0.509090909090909
"11","ilgauzy01",2010,-0.775,0.1
"12","gibsoda01",2010,0.775,-0.84
"13","moonja01",2010,1.22950819672131,2.27272727272727
"14","hicksjj01",2010,0.260493827160494,2.2714483530998e-17
"15","westde01",2010,1.425,-0.0454545454545455
"16","willija04",2010,-0.588888888888889,-0.766666666666667
"17","jamisan01",2010,1.372,1.25454545454545
"18","powele01",2010,-0.925,-1.16666666666667
"19","irvinky01",2015,4.55466666666667,5.29230769230769
"20","irvinky01",2016,2.80188679245283,6.16666666666667
"21","irvinky01",2017,3.90416666666667,3.14444444444444
"22","loveke01",2015,3.32133333333333,3.525
"23","loveke01",2016,3.48311688311688,2.785
"24","loveke01",2017,2.66666666666667,3.46666666666667
"25","loveke01",2018,3.05423728813559,0.747619047619048
"26","thomptr01",2015,0.402439024390244,1.715
"27","thomptr01",2016,1.24024390243902,0.585714285714286
"28","thomptr01",2017,0.784615384615385,1.22222222222222
"29","thomptr01",2018,-0.362264150943396,0.821052631578947
"30","dellama01",2015,-0.33134328358209,-0.93
"31","dellama01",2016,0.411842105263158,-0.305
"32","mariosh01",2015,0.392982456140351,-0.116666666666667
"33","millemi01",2015,-0.388461538461538,0.155555555555556
"34","harrijo01",2015,-0.701960784313725,-0.15
"35","haywobr01",2015,-0.477272727272727,-1
"36","jonesja02",2015,0.308771929824561,0.265
"37","jonesja02",2016,0.358333333333333,-0.633333333333333
"38","jonesja02",2017,0.279166666666667,-0.9625
"39","smithjr01",2015,2.81086956521739,2.68888888888889
"40","smithjr01",2016,1.6012987012987,2.72857142857143
"41","smithjr01",2017,-0.0609756097560976,1.42222222222222
"42","smithjr01",2018,-0.58625,-0.595454545454546
"43","mozgoti01",2015,1.21304347826087,1.385
"44","mozgoti01",2016,0.196052631578947,-0.669230769230769
"45","shumpim01",2015,0.952631578947368,2.165
"46","shumpim01",2016,0.216666666666667,0.0380952380952381
"47","shumpim01",2017,-0.140789473684211,0.364705882352941
"48","perkike01",2015,-1.54705882352941,-0.725
"49","jefferi01",2016,0.313513513513514,0.742857142857143
"50","jefferi01",2017,-0.439240506329114,-0.785714285714286
"51","fryech01",2016,1.07307692307692,2.40588235294118
"52","fryech01",2017,1.17297297297297,2.48333333333333
"53","mcraejo01",2016,-0.0666666666666667,2.6
"54","jonesda02",2016,-0.8,0.186666666666667
"55","jonesda02",2017,-0.7,0.02
"56","korveky01",2017,1.16571428571429,0.611111111111111
"57","korveky01",2018,0.989041095890411,1.04545454545455
"58","willide02",2017,-0.156,0.525
"59","willide01",2017,-0.466666666666667,-0.116666666666667
"60","greenje02",2018,0.115384615384615,0.386363636363636
"61","caldejo01",2018,0.0421052631578947,-0.392307692307692
"62","osmande01",2018,-0.201639344262295,-0.25
"63","zizican01",2018,0.425,-0.15
"64","hillge01",2018,0.454166666666667,0.0157894736842105
"65","hoodro01",2018,0.257142857142857,-0.535294117647059
"66","clarkjo01",2018,0.339285714285714,-2.04736842105263
"67","nancela02",2018,1.825,1.87
