"","player","year","RVORP","PVORP","win","DVORP"
"1","mchalke01",1985,3.16708860759494,4.06190476190476,FALSE,0.89481615430982
"2","birdla01",1985,8.8675,6.78,FALSE,-2.0875
"3","parisro01",1985,2.08860759493671,2.13809523809524,FALSE,0.0494876431585296
"4","johnsde01",1985,1.8125,1.88571428571429,FALSE,0.0732142857142899
"5","bucknqu01",1985,-0.282666666666667,0.0266666666666667,FALSE,0.309333333333334
"6","wedmasc01",1985,0.242307692307692,2.04285714285714,FALSE,1.80054945054945
"7","carrml01",1985,-0.1,-0.8,FALSE,-0.7
"8","maxwece01",1985,1.36666666666667,0.39,FALSE,-0.97666666666667
"9","aingeda01",1985,1.952,1.84761904761905,FALSE,-0.10438095238095
"10","clarkca01",1985,-0.0516129032258065,1.36666666666667,FALSE,1.41827956989248
"11","kitegr01",1985,-0.865454545454545,-0.4,FALSE,0.465454545454545
"12","willira01",1985,0.195652173913043,-0.0368421052631579,FALSE,-0.232494279176201
"13","mchalke01",1986,4.66029411764706,5.77777777777778,TRUE,1.11748366013072
"14","birdla01",1986,8.41341463414634,10.4722222222222,TRUE,2.05880758807586
"15","parisro01",1986,2.6716049382716,0.183333333333333,TRUE,-2.48827160493827
"16","johnsde01",1986,1.85384615384615,2.03333333333333,TRUE,0.17948717948718
"17","wedmasc01",1986,0.211392405063291,0.225,TRUE,0.013607594936709
"18","aingeda01",1986,1.8275,5.42777777777778,TRUE,3.60027777777778
"19","kitegr01",1986,-0.6015625,0.215384615384615,TRUE,0.816947115384615
"20","sichtje01",1986,0.740243902439024,-0.211111111111111,TRUE,-0.951355013550135
"21","carliri01",1986,-0.209090909090909,0.28,TRUE,0.489090909090909
"22","waltobi01",1986,2.01625,1.90625,TRUE,-0.11
"23","vincesa01",1986,-0.445614035087719,-1,TRUE,-0.554385964912281
"24","thirdda01",1986,-0.191836734693878,-0.415384615384615,TRUE,-0.223547880690737
"25","mchalke01",1987,5.84675324675325,2.95714285714286,FALSE,-2.88961038961039
"26","birdla01",1987,9.56081081081081,7.53478260869565,FALSE,-2.02602820211516
"27","parisro01",1987,2.47,3.14761904761905,FALSE,0.67761904761905
"28","johnsde01",1987,1.24683544303797,3.44347826086957,FALSE,2.1966428178316
"29","aingeda01",1987,2.35492957746479,1.985,FALSE,-0.36992957746479
"30","kitegr01",1987,-0.558108108108108,-0.4,FALSE,0.158108108108108
"31","sichtje01",1987,-0.156410256410256,-0.517391304347826,FALSE,-0.36098104793757
"32","waltobi01",1987,-0.49,-0.0916666666666667,FALSE,0.398333333333333
"33","vincesa01",1987,-0.0586956521739131,-0.117647058823529,FALSE,-0.0589514066496159
"34","roberfr01",1987,-0.404109589041096,-0.17,FALSE,0.234109589041096
"35","dayeda01",1987,-0.280327868852459,0.682608695652174,FALSE,0.962936564504633
"36","henryco01",1987,-0.555555555555556,-0.4,FALSE,0.155555555555556
"37","mchalke01",1988,4.2875,7,FALSE,2.7125
"38","birdla01",1988,8.72105263157895,8,FALSE,-0.721052631578949
"39","parisro01",1988,1.81216216216216,2.20588235294118,FALSE,0.39372019077902
"40","johnsde01",1988,1.48571428571429,4.03529411764706,FALSE,2.54957983193277
"41","aingeda01",1988,3.38395061728395,-0.0352941176470588,FALSE,-3.41924473493101
"42","roberfr01",1988,-0.0810810810810811,-0.233333333333333,FALSE,-0.152252252252252
"43","lohaubr01",1988,-0.142857142857143,0.366666666666667,FALSE,0.50952380952381
"44","acresma01",1988,-0.246835443037975,-0.6,FALSE,-0.353164556962025
"45","lewisre01",1988,-0.240816326530612,0.0333333333333333,FALSE,0.274149659863945
"46","minnidi01",1988,0.00655737704918035,-0.545454545454546,FALSE,-0.552011922503726
"47","gilmoar01",1988,-0.661702127659574,-0.192857142857143,FALSE,0.468844984802431
"48","paxsoji02",1988,-0.05,-1.74666666666667,FALSE,-1.69666666666667
"49","mchalke01",1989,3.15897435897436,4.66666666666667,FALSE,1.50769230769231
"50","parisro01",1989,3.9175,2.86666666666667,FALSE,-1.05083333333333
"51","johnsde01",1989,0.179166666666667,-1.46666666666667,FALSE,-1.64583333333334
"52","acresma01",1989,-0.306451612903226,-0.35,FALSE,-0.043548387096774
"53","lewisre01",1989,2.31234567901235,3.26666666666667,FALSE,0.95432098765432
"54","shawbr01",1989,0.754878048780488,4.26666666666667,FALSE,3.51178861788618
"55","gamblke01",1989,0.425,-0.9,FALSE,-1.325
"56","kleinjo01",1989,-0.1,-0.5,FALSE,-0.4
"57","pincked01",1989,2.20689655172414,-2.8,FALSE,-5.00689655172414
"58","upshake01",1989,-0.217391304347826,0.2,FALSE,0.417391304347826
"59","birdsot01",1989,-0.546153846153846,-1.33333333333333,FALSE,-0.787179487179484
"60","walkean02",2002,3.64691358024691,2.94375,FALSE,-0.70316358024691
"61","piercpa01",2002,6.59024390243902,6.09375,FALSE,-0.49649390243902
"62","anderke01",2002,1.07368421052632,-0.35,FALSE,-1.42368421052632
"63","willier01",2002,-0.482432432432432,2.59375,FALSE,3.07618243243243
"64","battito01",2002,0.658108108108108,1.48125,FALSE,0.823141891891892
"65","blounma01",2002,-0.420454545454545,0.125,FALSE,0.545454545454545
"66","mccarwa01",2002,0.3875,-0.35,FALSE,-0.7375
"67","brownke01",2002,0.5,2.2,FALSE,1.7
"68","stricer01",2002,0.660759493670886,-0.283333333333333,FALSE,-0.944092827004219
"69","delkto01",2002,0.168181818181818,0.757142857142857,FALSE,0.588961038961039
"70","rogerro01",2002,1.17037037037037,3.00625,FALSE,1.83587962962963
