"","x"
"1",3.1578947368421
"2",-3.52702702702703
"3",-0.285106382978723
"4",9.74468085106383
"5",13.35
"6",4.51063829787234
"7",6.68378378378378
"8",8.52330827067669
"9",6.86923076923077
"10",8.19714285714286
"11",10.16875
"12",9.83695652173913
"13",7.52251308900524
"14",0.422727272727273
"15",4.11401869158879
"16",2.70659340659341
"17",9.725
"18",5.31458333333333
"19",-5.24210526315789
"20",8.17297297297297
"21",-1.08510638297872
"22",5.74468085106383
"23",7.65
"24",-1.88936170212766
"25",3.48378378378378
"26",9.42330827067669
"27",7.36923076923077
"28",15.0971428571429
"29",-0.83125
"30",10.2369565217391
"31",3.02251308900524
"32",10.2227272727273
"33",1.21401869158879
"34",9.50659340659341
"35",6.125
"36",2.61458333333333
"37",2.35789473684211
"38",-2.12702702702703
"39",5.21489361702128
"40",18.3446808510638
"41",20.65
"42",1.41063829787234
"43",11.4837837837838
"44",-0.276691729323308
"45",0.669230769230769
"46",3.89714285714286
"47",-2.13125
"48",11.2369565217391
"49",5.62251308900524
"50",-1.57727272727273
"51",3.31401869158879
"52",10.3065934065934
"53",3.125
"54",2.11458333333333
"55",6.1578947368421
"56",1.07297297297297
"57",6.41489361702128
"58",12.0446808510638
"59",13.35
"60",9.71063829787234
"61",5.38378378378378
"62",6.32330827067669
"63",9.06923076923077
"64",1.79714285714286
"65",4.46875
"66",-0.0630434782608695
"67",4.42251308900524
"68",8.22272727272727
"69",-1.58598130841121
"70",-3.99340659340659
"71",7.425
"72",0.114583333333333
"73",4.0578947368421
"74",-3.52702702702703
"75",13.6148936170213
"76",7.14468085106383
"77",7.65
"78",1.61063829787234
"79",8.58378378378378
"80",1.82330827067669
"81",6.96923076923077
"82",3.19714285714286
"83",6.76875
"84",3.23695652173913
"85",11.2225130890052
"86",4.52272727272727
"87",-2.68598130841121
"88",4.30659340659341
"89",9.725
"90",-1.78541666666667
"91",-1.14210526315789
"92",8.17297297297297
"93",-0.285106382978723
"94",4.14468085106383
"95",20.65
"96",4.51063829787234
"97",8.68378378378378
"98",14.6233082706767
"99",6.86923076923077
"100",-1.90285714285714
"101",10.16875
"102",5.03695652173913
"103",9.32251308900524
"104",2.52272727272727
"105",6.21401869158878
"106",1.60659340659341
"107",6.125
"108",5.31458333333333
"109",-2.04210526315789
"110",-2.12702702702703
"111",-1.08510638297872
"112",2.14468085106383
"113",13.35
"114",-1.88936170212766
"115",10.3837837837838
"116",2.02330827067669
"117",7.36923076923077
"118",2.29714285714286
"119",-0.83125
"120",-7.76304347826087
"121",13.5225130890052
"122",6.62272727272727
"123",-4.58598130841122
"124",7.60659340659341
"125",3.125
"126",2.61458333333333
"127",-3.94210526315789
"128",1.07297297297297
"129",5.21489361702128
"130",0.74468085106383
"131",7.65
"132",1.41063829787234
"133",6.88378378378378
"134",10.0233082706767
"135",0.669230769230769
"136",7.79714285714286
"137",-2.13125
"138",-0.56304347826087
"139",1.92251308900524
"140",8.02272727272727
"141",3.81401869158879
"142",0.406593406593406
"143",7.425
"144",2.11458333333333
"145",-4.74210526315789
"146",-3.52702702702703
"147",6.41489361702128
"148",4.74468085106383
"149",20.65
"150",9.71063829787234
"151",11.6837837837838
"152",-0.476691729323308
"153",9.06923076923077
"154",-5.80285714285714
"155",4.46875
"156",2.53695652173913
"157",7.82251308900524
"158",13.4227272727273
"159",1.31401869158879
"160",0.806593406593407
"161",9.725
"162",0.114583333333333
"163",2.15789473684211
"164",8.17297297297297
"165",13.6148936170213
"166",16.6446808510638
"167",13.35
"168",1.61063829787234
"169",6.68378378378378
"170",10.6233082706767
"171",6.96923076923077
"172",5.79714285714286
"173",6.76875
"174",4.23695652173913
"175",17.0225130890052
"176",4.22272727272727
"177",6.91401869158879
"178",-2.89340659340659
"179",6.125
"180",-1.78541666666667
"181",3.1578947368421
"182",-2.12702702702703
"183",-0.285106382978723
"184",17.8446808510638
"185",7.65
"186",4.51063829787234
"187",3.48378378378378
"188",11.4233082706767
"189",6.86923076923077
"190",7.49714285714286
"191",10.16875
"192",3.33695652173913
"193",0.722513089005235
"194",-4.17727272727273
"195",7.41401869158879
"196",2.70659340659341
"197",3.125
"198",5.31458333333333
"199",-5.24210526315789
"200",1.07297297297297
"201",-1.08510638297872
"202",9.74468085106383
"203",20.65
"204",-1.88936170212766
"205",11.4837837837838
"206",10.7233082706767
"207",7.36923076923077
"208",7.19714285714286
"209",-0.83125
"210",10.5369565217391
"211",2.62251308900524
"212",-1.67727272727273
"213",4.11401869158879
"214",9.50659340659341
"215",7.425
"216",2.61458333333333
"217",2.35789473684211
"218",-3.52702702702703
"219",5.21489361702128
"220",5.74468085106383
"221",13.35
"222",1.41063829787234
"223",5.38378378378378
"224",-1.37669172932331
"225",0.669230769230769
"226",6.19714285714286
"227",-2.13125
"228",-5.26304347826087
"229",-3.67748691099476
"230",8.82272727272727
"231",1.21401869158879
"232",10.3065934065934
"233",9.725
"234",2.11458333333333
"235",6.1578947368421
"236",8.17297297297297
"237",6.41489361702128
"238",18.3446808510638
"239",7.65
"240",9.71063829787234
"241",8.58378378378378
"242",-2.67669172932331
"243",9.06923076923077
"244",3.99714285714286
"245",4.46875
"246",-0.36304347826087
"247",5.42251308900524
"248",0.422727272727273
"249",3.31401869158879
"250",-3.99340659340659
"251",6.125
"252",0.114583333333333
"253",4.0578947368421
"254",-2.12702702702703
"255",13.6148936170213
"256",12.0446808510638
"257",20.65
"258",1.61063829787234
"259",8.68378378378378
"260",4.22330827067669
"261",6.96923076923077
"262",7.19714285714286
"263",6.76875
"264",-4.26304347826087
"265",-3.47748691099476
"266",6.72272727272727
"267",-1.58598130841121
"268",4.30659340659341
"269",3.125
"270",-1.78541666666667
"271",-1.14210526315789
"272",1.07297297297297
"273",-0.285106382978723
"274",7.14468085106383
"275",13.35
"276",4.51063829787234
"277",10.3837837837838
"278",5.52330827067669
"279",6.86923076923077
"280",0.097142857142857
"281",10.16875
"282",-4.46304347826087
"283",11.0225130890052
"284",-0.877272727272727
"285",-2.68598130841121
"286",1.60659340659341
"287",7.425
"288",5.31458333333333
"289",-2.04210526315789
"290",-3.52702702702703
"291",-1.08510638297872
"292",4.14468085106383
"293",7.65
"294",-1.88936170212766
"295",6.88378378378378
"296",8.52330827067669
"297",7.36923076923077
"298",8.19714285714286
"299",-0.83125
"300",-0.763043478260869
"301",11.7225130890052
"302",-0.277272727272727
"303",6.21401869158878
"304",7.60659340659341
"305",9.725
"306",2.61458333333333
"307",-3.94210526315789
"308",8.17297297297297
"309",5.21489361702128
"310",2.14468085106383
"311",20.65
"312",1.41063829787234
"313",11.6837837837838
"314",9.42330827067669
"315",0.669230769230769
"316",15.0971428571429
"317",-2.13125
"318",12.6369565217391
"319",9.22251308900524
"320",-4.97727272727273
"321",-4.58598130841122
"322",0.406593406593406
"323",6.125
"324",2.11458333333333
"325",-4.74210526315789
"326",-2.12702702702703
"327",6.41489361702128
"328",0.74468085106383
"329",13.35
"330",9.71063829787234
"331",6.68378378378378
"332",-0.276691729323308
"333",9.06923076923077
"334",3.89714285714286
"335",4.46875
"336",9.83695652173913
"337",-0.877486910994765
"338",3.12272727272727
"339",3.81401869158879
"340",0.806593406593407
"341",3.125
"342",0.114583333333333
"343",2.15789473684211
"344",1.07297297297297
"345",13.6148936170213
"346",4.74468085106383
"347",7.65
"348",1.61063829787234
"349",3.48378378378378
"350",6.32330827067669
"351",6.96923076923077
"352",1.79714285714286
"353",6.76875
"354",10.2369565217391
"355",3.62251308900524
"356",8.92272727272727
"357",1.31401869158879
"358",-2.89340659340659
"359",7.425
"360",-1.78541666666667
