"","x"
"1",5.11632653061224
"2",13.0890243902439
"3",14.9471698113208
"4",13.8696132596685
"5",4.49126213592233
"6",7.28595505617978
"7",9.14117647058823
"8",5.54581280788177
"9",15.1163265306122
"10",7.4890243902439
"11",5.94716981132076
"12",6.76961325966851
"13",7.89126213592233
"14",10.9859550561798
"15",15.0411764705882
"16",4.34581280788177
"17",17.8163265306122
"18",12.7890243902439
"19",10.6471698113208
"20",15.6696132596685
"21",6.79126213592233
"22",12.2859550561798
"23",16.2411764705882
"24",13.2458128078818
"25",16.5163265306122
"26",6.4890243902439
"27",8.44716981132076
"28",3.76961325966851
"29",2.59126213592233
"30",11.9859550561798
"31",4.54117647058824
"32",8.44581280788177
"33",17.6163265306122
"34",10.9890243902439
"35",6.34716981132075
"36",7.36961325966851
"37",6.29126213592233
"38",7.58595505617978
"39",6.14117647058824
"40",9.34581280788177
"41",14.6163265306122
"42",0.189024390243902
"43",7.84716981132076
"44",22.6696132596685
"45",15.2912621359223
"46",2.18595505617977
"47",15.0411764705882
"48",11.2458128078818
"49",17.0163265306122
"50",12.1890243902439
"51",11.8471698113208
"52",6.76961325966851
"53",6.59126213592233
"54",18.0859550561798
"55",13.4411764705882
"56",16.7458128078818
"57",5.31632653061224
"58",17.6890243902439
"59",4.74716981132075
"60",9.86961325966851
"61",-8.80873786407767
"62",7.08595505617978
"63",-0.658823529411765
"64",12.7458128078818
"65",10.2163265306122
"66",20.0890243902439
"67",11.6471698113208
"68",11.7696132596685
"69",16.1912621359223
"70",11.2859550561798
"71",10.1411764705882
"72",8.54581280788177
"73",7.71632653061224
"74",16.0890243902439
"75",20.7471698113208
"76",12.4696132596685
"77",17.3912621359223
"78",3.28595505617978
"79",15.4411764705882
"80",7.54581280788177
"81",13.6163265306122
"82",18.7890243902439
"83",4.54716981132075
"84",10.7696132596685
"85",4.49126213592233
"86",6.68595505617978
"87",14.5411764705882
"88",9.44581280788177
"89",19.2163265306122
"90",10.9890243902439
"91",11.4471698113208
"92",9.46961325966851
"93",7.89126213592233
"94",10.1859550561798
"95",8.24117647058824
"96",3.64581280788177
"97",18.7163265306122
"98",16.9890243902439
"99",22.7471698113208
"100",9.16961325966851
"101",6.79126213592233
"102",11.9859550561798
"103",2.54117647058824
"104",14.1458128078818
"105",7.51632653061225
"106",14.4890243902439
"107",5.64716981132075
"108",6.56961325966851
"109",2.59126213592233
"110",7.28595505617978
"111",7.94117647058824
"112",3.54581280788177
"113",9.91632653061225
"114",11.5890243902439
"115",6.14716981132075
"116",6.26961325966851
"117",6.29126213592233
"118",14.3859550561798
"119",8.74117647058824
"120",0.745812807881773
"121",16.3163265306122
"122",16.0890243902439
"123",-2.65283018867925
"124",13.5696132596685
"125",15.2912621359223
"126",12.1859550561798
"127",-0.0588235294117647
"128",1.04581280788177
"129",5.11632653061224
"130",8.9890243902439
"131",6.64716981132075
"132",9.36961325966851
"133",6.59126213592233
"134",-3.01404494382022
"135",8.34117647058824
"136",-6.45418719211823
"137",15.1163265306122
"138",13.0890243902439
"139",12.0471698113208
"140",10.6696132596685
"141",-8.80873786407767
"142",6.58595505617978
"143",-1.25882352941176
"144",11.6458128078818
"145",17.8163265306122
"146",7.4890243902439
"147",6.54716981132075
"148",9.56961325966851
"149",16.1912621359223
"150",7.28595505617978
"151",15.2411764705882
"152",8.74581280788177
"153",16.5163265306122
"154",12.7890243902439
"155",4.84716981132075
"156",13.8696132596685
"157",17.3912621359223
"158",10.9859550561798
"159",9.14117647058823
"160",10.4458128078818
"161",17.6163265306122
"162",6.4890243902439
"163",5.24716981132075
"164",6.76961325966851
"165",4.49126213592233
"166",12.2859550561798
"167",15.0411764705882
"168",10.7458128078818
"169",14.6163265306122
"170",10.9890243902439
"171",9.74716981132075
"172",15.6696132596685
"173",7.89126213592233
"174",11.9859550561798
"175",16.2411764705882
"176",5.54581280788177
