"","x"
"1",19.2104084321476
"2",3.65045632333768
"3",5.68965517241379
"4",9.40614250614251
"5",2.90179028132992
"6",-11.4882051282051
"7",7.07166042446941
"8",8.11106918238994
"9",13.9249694002448
"10",-1.38959156785244
"11",7.95045632333768
"12",1.08965517241379
"13",5.90614250614251
"14",2.70179028132992
"15",8.11179487179487
"16",6.17166042446941
"17",7.81106918238994
"18",6.6249694002448
"19",11.7104084321476
"20",6.35045632333768
"21",6.68965517241379
"22",-0.693857493857494
"23",0.201790281329923
"24",8.31179487179487
"25",13.7716604244694
"26",0.211069182389937
"27",16.6249694002448
"28",9.81040843214756
"29",6.95045632333768
"30",14.8896551724138
"31",13.0061425061425
"32",4.90179028132992
"33",-0.588205128205128
"34",2.17166042446941
"35",7.31106918238994
"36",1.7249694002448
"37",4.61040843214756
"38",9.35045632333768
"39",8.38965517241379
"40",9.10614250614251
"41",3.10179028132992
"42",2.51179487179487
"43",6.17166042446941
"44",8.31106918238994
"45",9.3249694002448
"46",10.3104084321476
"47",3.65045632333768
"48",16.8896551724138
"49",3.10614250614251
"50",8.40179028132992
"51",2.71179487179487
"52",7.07166042446941
"53",2.11106918238994
"54",7.7249694002448
"55",8.41040843214756
"56",7.65045632333768
"57",13.6896551724138
"58",9.10614250614251
"59",-1.39820971867008
"60",16.9117948717949
"61",6.67166042446941
"62",10.8110691823899
"63",11.7249694002448
"64",6.21040843214756
"65",8.65045632333768
"66",12.2896551724138
"67",4.70614250614251
"68",11.6017902813299
"69",9.81179487179487
"70",1.87166042446941
"71",4.31106918238994
"72",10.5249694002448
"73",1.41040843214756
"74",3.85045632333768
"75",-3.71034482758621
"76",17.9061425061425
"77",15.7017902813299
"78",-0.188205128205128
"79",6.87166042446941
"80",10.0110691823899
"81",8.0249694002448
"82",7.91040843214756
"83",5.55045632333768
"84",7.78965517241379
"85",4.90614250614251
"86",6.60179028132992
"87",-1.48820512820513
"88",6.87166042446941
"89",4.71106918238994
"90",11.3249694002448
"91",10.7104084321476
"92",4.45045632333768
"93",8.58965517241379
"94",8.60614250614251
"95",5.20179028132992
"96",13.8117948717949
"97",0.971660424469413
"98",-1.88893081761006
"99",14.2249694002448
"100",-1.08959156785244
"101",0.650456323337679
"102",10.0896551724138
"103",7.70614250614251
"104",11.8017902813299
"105",12.6117948717949
"106",9.97166042446941
"107",7.71106918238994
"108",13.3249694002448
"109",11.4104084321476
"110",7.25045632333768
"111",5.28965517241379
"112",6.70614250614251
"113",9.10179028132992
"114",1.21179487179487
"115",8.87166042446941
"116",18.1110691823899
"117",4.1249694002448
"118",16.2104084321476
"119",-2.44954367666232
"120",5.58965517241379
"121",10.7061425061425
"122",11.2017902813299
"123",3.81179487179487
"124",7.47166042446941
"125",4.01106918238994
"126",16.0249694002448
"127",22.8104084321476
"128",-1.54954367666232
"129",15.0896551724138
"130",4.30614250614251
"131",8.10179028132992
"132",7.21179487179487
"133",3.27166042446941
"134",7.11106918238994
"135",8.9249694002448
"136",13.0104084321476
"137",-0.549543676662321
"138",5.18965517241379
"139",14.8061425061425
"140",12.9017902813299
"141",5.41179487179487
"142",14.9716604244694
"143",6.11106918238994
"144",16.5249694002448
"145",9.31040843214756
"146",0.950456323337679
"147",10.7896551724138
"148",11.3061425061425
"149",-1.09820971867008
"150",-3.08820512820513
"151",8.37166042446941
"152",5.71106918238994
"153",5.9249694002448
"154",12.2104084321476
"155",3.85045632333768
"156",6.18965517241379
"157",8.50614250614251
"158",12.8017902813299
"159",-1.88820512820513
"160",-0.628339575530587
"161",10.2110691823899
"162",9.1249694002448
"163",13.8104084321476
"164",10.7504563233377
"165",11.6896551724138
"166",11.0061425061425
"167",11.3017902813299
"168",6.51179487179487
"169",8.67166042446941
"170",1.81106918238994
"171",8.6249694002448
"172",16.0104084321476
"173",6.85045632333768
"174",9.78965517241379
"175",6.90614250614251
"176",7.30179028132992
"177",14.9117948717949
"178",13.7716604244694
"179",9.81106918238994
"180",8.5249694002448
"181",5.41040843214756
"182",4.65045632333768
"183",4.18965517241379
"184",8.10614250614251
"185",5.40179028132992
"186",9.11179487179487
"187",7.07166042446941
"188",7.81106918238994
"189",10.9249694002448
"190",13.3104084321476
"191",19.5504563233377
"192",3.28965517241379
"193",15.2061425061425
"194",-0.398209718670077
"195",5.21179487179487
"196",7.07166042446941
"197",9.51106918238994
"198",-4.3750305997552
"199",10.4104084321476
"200",8.85045632333768
"201",3.58965517241379
"202",7.40614250614251
"203",7.90179028132992
"204",1.11179487179487
"205",12.3716604244694
"206",9.31106918238994
"207",-4.5750305997552
"208",14.9104084321476
"209",-3.64954367666232
"210",15.9896551724138
"211",12.5061425061425
"212",12.6017902813299
"213",9.91179487179487
"214",4.47166042446941
"215",5.31106918238994
"216",3.5249694002448
"217",16.7104084321476
"218",16.1504563233377
"219",21.8896551724138
"220",10.0061425061425
"221",9.50179028132992
"222",0.0117948717948718
"223",2.77166042446941
"224",6.01106918238994
"225",11.0249694002448
"226",7.81040843214756
"227",0.550456323337679
"228",8.38965517241379
"229",18.3061425061425
"230",11.1017902813299
"231",-4.68820512820513
"232",9.97166042446941
"233",6.81106918238994
"234",1.1249694002448
"235",11.8104084321476
"236",8.75045632333768
"237",6.58965517241379
"238",4.00614250614251
"239",20.6017902813299
"240",14.4117948717949
"241",7.97166042446941
"242",7.41106918238994
"243",6.0249694002448
"244",17.9104084321476
"245",7.15045632333768
"246",13.2896551724138
"247",15.9061425061425
"248",11.9017902813299
"249",9.71179487179487
"250",10.3716604244694
"251",13.3110691823899
"252",12.7249694002448
"253",11.2104084321476
"254",12.1504563233377
"255",4.68965517241379
"256",8.10614250614251
"257",4.60179028132992
"258",1.71179487179487
"259",8.27166042446941
"260",8.01106918238994
"261",12.7249694002448
"262",6.71040843214756
"263",12.6504563233377
"264",11.0896551724138
"265",3.90614250614251
"266",-1.49820971867008
"267",1.01179487179487
"268",-4.72833957553059
"269",8.51106918238994
"270",10.9249694002448
