"","x"
"1",2.28305084745763
"2",4.88148148148148
"3",-7.96233766233766
"4",13.2676470588235
"5",3.62058823529412
"6",9.38305084745763
"7",-8.01851851851852
"8",5.03766233766234
"9",11.8676470588235
"10",5.12058823529412
"11",4.38305084745763
"12",14.2814814814815
"13",5.63766233766234
"14",14.2676470588235
"15",-8.67941176470588
"16",7.58305084745763
"17",11.3814814814815
"18",-3.76233766233766
"19",4.66764705882353
"20",15.6205882352941
"21",-1.81694915254237
"22",3.08148148148148
"23",-0.162337662337662
"24",9.16764705882353
"25",3.62058823529412
"26",-6.61694915254237
"27",4.78148148148148
"28",14.2376623376623
"29",5.26764705882353
"30",5.12058823529412
"31",2.28305084745763
"32",4.88148148148148
"33",2.83766233766234
"34",3.06764705882353
"35",-8.67941176470588
"36",9.38305084745763
"37",-8.01851851851852
"38",-7.96233766233766
"39",9.06764705882353
"40",15.6205882352941
"41",4.38305084745763
"42",14.2814814814815
"43",5.03766233766234
"44",-1.23235294117647
"45",3.62058823529412
