"","VORP","time"
"215",5.52826086956522,"post"
"216",14.3282608695652,"post"
"217",8.02826086956522,"post"
"218",-1.97173913043478,"post"
"219",2.12826086956522,"post"
"220",0.528260869565218,"post"
"221",-5.23246073298429,"post"
"222",7.46753926701571,"post"
"223",0.167539267015707,"post"
"224",-2.03246073298429,"post"
"225",11.6675392670157,"post"
"226",-0.332460732984293,"post"
"227",1.96753926701571,"post"
"228",5.76753926701571,"post"
"229",10.6675392670157,"post"
"230",8.26753926701571,"post"
"231",3.06753926701571,"post"
"232",4.16753926701571,"post"
"233",-5.83246073298429,"post"
"234",8.36753926701571,"post"
"235",1.76753926701571,"post"
"236",0.667539267015707,"post"
"237",6.46753926701571,"post"
"238",4.26753926701571,"post"
"239",-2.03246073298429,"post"
"240",4.66753926701571,"post"
"241",4.16313131313131,"post"
"242",5.16313131313131,"post"
"243",13.3631313131313,"post"
"244",6.26313131313131,"post"
"245",1.46313131313131,"post"
"246",1.16313131313131,"post"
"247",6.56313131313131,"post"
"248",7.86313131313131,"post"
"249",3.96313131313131,"post"
"250",-0.936868686868687,"post"
"251",14.3631313131313,"post"
"252",-2.13686868686869,"post"
"253",5.36313131313131,"post"
"254",4.46313131313131,"post"
"255",8.26313131313131,"post"
"256",2.96313131313131,"post"
"257",11.2631313131313,"post"
"258",5.56313131313131,"post"
"259",5.96313131313131,"post"
"260",19.9631313131313,"post"
"261",2.50654205607477,"post"
"262",9.00654205607477,"post"
"263",-1.49345794392523,"post"
"264",8.60654205607477,"post"
"265",14.0065420560748,"post"
"266",2.60654205607477,"post"
"267",0.906542056074766,"post"
"268",3.80654205607477,"post"
"269",10.7065420560748,"post"
"270",2.90654205607477,"post"
"271",-5.39345794392523,"post"
"272",2.50654205607477,"post"
"273",9.00654205607477,"post"
"274",-1.49345794392523,"post"
"275",8.60654205607477,"post"
"276",14.0065420560748,"post"
"277",2.60654205607477,"post"
"278",0.906542056074766,"post"
"279",3.80654205607477,"post"
"280",10.7065420560748,"post"
"281",17.0868131868132,"post"
"282",6.68681318681319,"post"
"283",1.28681318681319,"post"
"284",5.18681318681319,"post"
"285",11.7868131868132,"post"
"286",8.68681318681319,"post"
"287",1.48681318681319,"post"
"288",6.88681318681319,"post"
"289",-3.11318681318681,"post"
"290",12.7868131868132,"post"
"291",17.0868131868132,"post"
"292",6.68681318681319,"post"
"293",1.28681318681319,"post"
"294",5.18681318681319,"post"
"295",11.7868131868132,"post"
"296",8.68681318681319,"post"
"297",1.48681318681319,"post"
"298",6.88681318681319,"post"
"299",-3.11318681318681,"post"
"300",12.7868131868132,"post"
"301",7.93055555555556,"post"
"302",-8.86944444444444,"post"
"303",9.53055555555556,"post"
"304",2.03055555555556,"post"
"305",7.93055555555556,"post"
"306",-8.86944444444444,"post"
"307",9.53055555555556,"post"
"308",2.03055555555556,"post"
"309",7.93055555555556,"post"
"310",-8.86944444444444,"post"
"311",9.53055555555556,"post"
"312",2.03055555555556,"post"
"313",7.93055555555556,"post"
"314",-8.86944444444444,"post"
"315",9.53055555555556,"post"
"316",2.03055555555556,"post"
"317",7.93055555555556,"post"
"318",-8.86944444444444,"post"
"319",9.53055555555556,"post"
"320",2.03055555555556,"post"
"321",1.81666666666667,"post"
"322",6.81666666666667,"post"
"323",3.41666666666667,"post"
"324",-4.18333333333333,"post"
"325",-4.68333333333333,"post"
"326",1.81666666666667,"post"
"327",6.81666666666667,"post"
"328",3.41666666666667,"post"
"329",-4.18333333333333,"post"
"330",-4.68333333333333,"post"
"331",1.81666666666667,"post"
"332",6.81666666666667,"post"
"333",3.41666666666667,"post"
"334",-4.18333333333333,"post"
