"","x"
"1",7.78910179640719
"2",10.555
"3",18.5248837209302
"4",-0.0217587373167982
"5",-1.8192349726776
"6",2.78910179640719
"7",1.655
"8",11.7248837209302
"9",5.5782412626832
"10",5.5807650273224
"11",1.88910179640719
"12",-7.245
"13",12.3248837209302
"14",18.1782412626832
"15",0.480765027322404
"16",0.0891017964071856
"17",-1.745
"18",14.3248837209302
"19",5.1782412626832
"20",4.5807650273224
"21",5.38910179640719
"22",7.255
"23",1.52488372093023
"24",5.3782412626832
"25",-0.519234972677596
"26",4.48910179640719
"27",0.955
"28",2.32488372093023
"29",9.7782412626832
"30",1.5807650273224
"31",5.58910179640719
"32",4.655
"33",8.42488372093023
"34",6.0782412626832
"35",4.1807650273224
"36",7.88910179640719
"37",-0.545
"38",5.02488372093023
"39",2.2782412626832
"40",5.8807650273224
"41",9.18910179640719
"42",11.555
"43",10.1248837209302
"44",3.0782412626832
"45",3.1807650273224
"46",-5.01089820359281
"47",1.855
"48",9.52488372093023
"49",3.6782412626832
"50",15.0807650273224
"51",10.4891017964072
"52",14.755
"53",14.9248837209302
"54",3.7782412626832
"55",5.8807650273224
"56",0.189101796407186
"57",4.055
"58",4.02488372093023
"59",-4.8217587373168
"60",7.9807650273224
"61",-2.11089820359281
"62",5.155
"63",5.72488372093023
"64",3.1782412626832
"65",9.4807650273224
"66",12.0891017964072
"67",3.855
"68",4.92488372093023
"69",12.0782412626832
"70",23.9807650273224
"71",13.6891017964072
"72",14.555
"73",6.02488372093023
"74",3.0782412626832
"75",2.1807650273224
"76",2.68910179640719
"77",7.655
"78",8.32488372093023
"79",0.778241262683202
"80",4.8807650273224
"81",6.38910179640719
"82",7.855
"83",-0.575116279069767
"84",-2.4217587373168
"85",6.3807650273224
"86",10.6891017964072
"87",8.955
"88",6.72488372093023
"89",0.778241262683202
"90",1.3807650273224
"91",11.3891017964072
"92",13.355
"93",5.42488372093023
"94",8.7782412626832
"95",16.2807650273224
"96",10.7891017964072
"97",8.255
"98",6.12488372093023
"99",6.1782412626832
"100",7.4807650273224
"101",5.18910179640719
"102",3.555
"103",20.7248837209302
"104",2.2782412626832
"105",12.4807650273224
"106",3.98910179640719
"107",-2.245
"108",19.2248837209302
"109",5.1782412626832
"110",-1.1192349726776
"111",2.38910179640719
"112",4.155
"113",6.82488372093023
"114",4.4782412626832
"115",7.8807650273224
"116",0.389101796407186
"117",2.055
"118",5.92488372093023
"119",4.0782412626832
"120",6.3807650273224
"121",-0.0108982035928143
"122",6.955
"123",14.6248837209302
"124",13.9782412626832
"125",12.2807650273224
"126",7.78910179640719
"127",15.155
"128",5.52488372093023
