"","player","VORP","time","year"
"1","stockjo01",2.7,"reg",1985
"2","stockjo01",1.7,"reg",1985
"3","stockjo01",0.2,"reg",1985
"4","stockjo01",4.6,"reg",1985
"5","stockjo01",1,"reg",1985
"6","stockjo01",-1.1,"reg",1985
"7","stockjo01",-1.6,"reg",1985
"8","stockjo01",3.1,"reg",1985
"9","stockjo01",-4.7,"reg",1985
"10","stockjo01",2.3,"reg",1985
"11","stockjo01",-0.1,"reg",1985
"12","stockjo01",-2,"reg",1985
"13","stockjo01",-1.3,"reg",1985
"14","stockjo01",-2.1,"reg",1985
"15","stockjo01",-0.8,"reg",1985
"16","stockjo01",1.7,"reg",1985
"17","stockjo01",-3.1,"reg",1985
"18","stockjo01",9.5,"reg",1985
"19","stockjo01",9.4,"reg",1985
"20","stockjo01",-4.3,"reg",1985
"21","stockjo01",0.4,"reg",1985
"22","stockjo01",1.1,"reg",1985
"23","stockjo01",0.2,"reg",1985
"24","stockjo01",-3.1,"reg",1985
"25","stockjo01",0.2,"reg",1985
"26","stockjo01",-2.8,"reg",1985
"27","stockjo01",3.8,"reg",1985
"28","stockjo01",0.4,"reg",1985
"29","stockjo01",2.4,"reg",1985
"30","stockjo01",-0.1,"reg",1985
"31","stockjo01",0.5,"reg",1985
"32","stockjo01",0.1,"reg",1985
"33","stockjo01",1.1,"reg",1985
"34","stockjo01",-1.6,"reg",1985
"35","stockjo01",0.7,"reg",1985
"36","stockjo01",0.7,"reg",1985
"37","stockjo01",5.6,"reg",1985
"38","stockjo01",2,"reg",1985
"39","stockjo01",3.7,"reg",1985
"40","stockjo01",2,"reg",1985
"41","stockjo01",6.2,"reg",1985
"42","stockjo01",2.6,"reg",1985
"43","stockjo01",-0.5,"reg",1985
"44","stockjo01",3.9,"reg",1985
"45","stockjo01",-4.8,"reg",1985
"46","stockjo01",1.2,"reg",1985
"47","stockjo01",3.9,"reg",1985
"48","stockjo01",-0.4,"reg",1985
"49","stockjo01",-3,"reg",1985
"50","stockjo01",2.3,"reg",1985
"51","stockjo01",5.2,"reg",1985
"52","stockjo01",-1.1,"reg",1985
"53","stockjo01",2.4,"reg",1985
"54","stockjo01",-4.1,"reg",1985
"55","stockjo01",3,"reg",1985
"56","stockjo01",1.7,"reg",1985
"57","stockjo01",3.2,"reg",1985
"58","stockjo01",-2.3,"reg",1985
"59","stockjo01",2.2,"reg",1985
"60","stockjo01",-3.3,"reg",1985
"61","stockjo01",-3.3,"reg",1985
"62","stockjo01",2.5,"reg",1985
"63","stockjo01",-0.9,"reg",1985
"64","stockjo01",5.5,"reg",1985
"65","stockjo01",-2.6,"reg",1985
"66","stockjo01",0.9,"reg",1985
"67","stockjo01",1.8,"reg",1985
"68","stockjo01",0.6,"reg",1985
"69","stockjo01",6.1,"reg",1985
"70","stockjo01",-1.2,"reg",1985
"71","stockjo01",-4.6,"reg",1985
"72","stockjo01",-1.3,"reg",1985
"73","stockjo01",2.3,"reg",1985
"74","stockjo01",2.4,"reg",1985
"75","stockjo01",1.5,"reg",1985
"76","stockjo01",-2.5,"reg",1985
"77","stockjo01",-1.1,"reg",1985
"78","stockjo01",6.6,"reg",1985
"79","stockjo01",-2.4,"reg",1985
"80","stockjo01",-1.9,"reg",1985
"81","stockjo01",-0.9,"reg",1985
"82","stockjo01",0.1,"reg",1985
"83","stockjo01",5.3,"reg",1998
"84","stockjo01",0.5,"reg",1998
"85","stockjo01",4.8,"reg",1998
"86","stockjo01",2.8,"reg",1998
"87","stockjo01",17.2,"reg",1998
"88","stockjo01",4.8,"reg",1998
"89","stockjo01",-3.8,"reg",1998
"90","stockjo01",13.8,"reg",1998
"91","stockjo01",18.7,"reg",1998
"92","stockjo01",4.7,"reg",1998
"93","stockjo01",3.9,"reg",1998
"94","stockjo01",3.4,"reg",1998
"95","stockjo01",10,"reg",1998
"96","stockjo01",15.4,"reg",1998
"97","stockjo01",6.4,"reg",1998
"98","stockjo01",5,"reg",1998
"99","stockjo01",8.4,"reg",1998
"100","stockjo01",4.5,"reg",1998
"101","stockjo01",5.8,"reg",1998
"102","stockjo01",3.2,"reg",1998
"103","stockjo01",-4.7,"reg",1998
"104","stockjo01",7.9,"reg",1998
"105","stockjo01",5.2,"reg",1998
"106","stockjo01",5.4,"reg",1998
"107","stockjo01",2.3,"reg",1998
"108","stockjo01",10.3,"reg",1998
"109","stockjo01",6.1,"reg",1998
"110","stockjo01",9.1,"reg",1998
"111","stockjo01",-1.4,"reg",1998
"112","stockjo01",2,"reg",1998
"113","stockjo01",4.2,"reg",1998
"114","stockjo01",-3.2,"reg",1998
"115","stockjo01",-4.2,"reg",1998
"116","stockjo01",6.2,"reg",1998
"117","stockjo01",13.1,"reg",1998
"118","stockjo01",-0.2,"reg",1998
"119","stockjo01",6.7,"reg",1998
"120","stockjo01",10,"reg",1998
"121","stockjo01",3.2,"reg",1998
"122","stockjo01",9.5,"reg",1998
"123","stockjo01",-3.3,"reg",1998
"124","stockjo01",5.6,"reg",1998
"125","stockjo01",2.1,"reg",1998
"126","stockjo01",2.7,"reg",1998
"127","stockjo01",3.4,"reg",1998
"128","stockjo01",6.7,"reg",1998
"129","stockjo01",-0.4,"reg",1998
"130","stockjo01",11.5,"reg",1998
