"","VORP","time"
"1",7.2188679245283,"post"
"2",16.7188679245283,"post"
"3",6.5188679245283,"post"
"4",18.7188679245283,"post"
"5",6.6188679245283,"post"
"6",-3.5811320754717,"post"
"7",14.8188679245283,"post"
"8",22.8188679245283,"post"
"9",18.5188679245283,"post"
"10",3.0188679245283,"post"
"11",10.4188679245283,"post"
"12",7.2188679245283,"post"
"13",16.7188679245283,"post"
"14",6.5188679245283,"post"
"15",18.7188679245283,"post"
"16",6.6188679245283,"post"
"17",-3.5811320754717,"post"
"18",14.8188679245283,"post"
"19",22.8188679245283,"post"
"20",18.5188679245283,"post"
"21",3.0188679245283,"post"
"22",10.4188679245283,"post"
"23",7.2188679245283,"post"
"24",9.53693181818182,"post"
"25",11.6369318181818,"post"
"26",3.63693181818182,"post"
"27",2.83693181818182,"post"
"28",10.3369318181818,"post"
"29",11.6369318181818,"post"
"30",14.9369318181818,"post"
"31",6.63693181818182,"post"
"32",10.4369318181818,"post"
"33",3.43693181818182,"post"
"34",1.83693181818182,"post"
"35",9.33693181818182,"post"
"36",12.9369318181818,"post"
"37",0.436931818181818,"post"
"38",9.93693181818182,"post"
"39",3.13693181818182,"post"
"40",10.8369318181818,"post"
"41",14.2369318181818,"post"
"42",3.03693181818182,"post"
"43",-3.86306818181818,"post"
"44",-4.46306818181818,"post"
"45",9.53693181818182,"post"
"46",11.6369318181818,"post"
"47",18.4849056603774,"post"
"48",1.68490566037736,"post"
"49",11.1849056603774,"post"
"50",15.9849056603774,"post"
"51",20.3849056603774,"post"
"52",10.8849056603774,"post"
"53",11.4849056603774,"post"
"54",10.0849056603774,"post"
"55",10.1849056603774,"post"
"56",3.68490566037736,"post"
"57",7.28490566037736,"post"
"58",10.7849056603774,"post"
"59",5.58490566037736,"post"
"60",5.88490566037736,"post"
"61",2.48490566037736,"post"
"62",4.88490566037736,"post"
"63",16.6849056603774,"post"
"64",8.88490566037736,"post"
"65",11.5849056603774,"post"
"66",-0.315094339622642,"post"
"67",17.6849056603774,"post"
"68",6.78490566037736,"post"
"69",8.58490566037736,"post"
"70",9.77973568281938,"post"
"71",2.07973568281938,"post"
"72",10.3797356828194,"post"
"73",7.97973568281938,"post"
"74",7.27973568281938,"post"
"75",11.0797356828194,"post"
"76",19.1797356828194,"post"
"77",10.1797356828194,"post"
