player,reg,post
thomais01,3.1496881496881497,6.62
roundda01,0.5176470588235295,0.28571428571428564
tripuke01,1.0923387096774193,-0.6454545454545454
laimbbi01,2.3227272727272728,2.9160714285714286
tylerte01,0.38941798941798944,2.6
johnsvi01,1.2,1.3981818181818182
curetea01,-0.12912621359223303,0.65
bensoke01,0.42162162162162165,0.55
lowesi01,0.20862068965517241,NA
campbto01,0.40020366598778007,-0.585
jordami01,9.861708860759494,11.914893617021276
woolror01,1.1108294930875575,1.0722222222222222
whatlen01,0.4,-0.6823529411764706
johnsst03,-0.140625,-1.46
jonesca01,-0.17887323943661973,-0.8363636363636363
dailequ01,-0.1343915343915344,-1.7000000000000002
oldhaja01,0.3053571428571428,-0.3
greensi02,-0.14263157894736844,-0.31999999999999995
corzida01,0.33287037037037037,-0.23125000000000004
higgiro01,1.0228346456692914,1.7133333333333334
matthwe01,0.06870229007633588,-0.7533333333333333
vraneda01,0.19280575539568345,NA
sikmaja01,2.408058608058608,1.70625
hendege01,0.7212244897959184,-0.08888888888888889
woodal01,0.14220183486238533,NA
chambto01,0.8598290598290598,1.1692307692307693
mccrasc01,0.036842105263157884,NA
sundvjo01,0.19953271028037384,-0.75
brickfr01,0.5308300395256917,0.07894736842105264
soberri01,0.0649350649350649,NA
blackco01,-1.2275862068965517,NA
mccorti01,-0.02289156626506024,0.1857142857142856
youngda01,0.9175,1.4653846153846155
cheekma01,2.98732782369146,2.7409090909090907
malonmo01,1.6115555555555556,5.128571428571428
ervinju01,2.744954128440367,1.6214285714285714
toneyan01,0.47125,2.9749999999999996
barklch01,6.253462603878116,7.074193548387097
jonesbo01,2.087012987012987,3.8833333333333333
threase01,1.2820668693009118,1.3129032258064517
iavarma01,-0.6870967741935484,-0.5916666666666667
johnscl01,-0.16293706293706295,-0.14761904761904765
woodle01,0.3370860927152318,0.825
richami01,3.9417910447761195,5.9
willibu01,1.1389627659574468,1.391304347826087
birdsot01,1.0317307692307693,3.9
okoremi01,0.5725806451612904,-1.4000000000000001
dawkida01,1.0135593220338983,-3
cookda01,0.3170212765957447,0.9666666666666667
gminsmi01,1.2424083769633507,0.9874999999999999
wilsomi01,0.5875,NA
sapplwa01,-0.9562499999999999,NA
turneje01,-0.9914988814317673,-0.6166666666666667
johnsge02,0.3660714285714286,NA
ranseke01,0.4113924050632911,1.05
shortpu01,1.4130653266331659,-0.9874999999999999
floydsl01,1.0596190476190477,3.317647058823529
whiteje01,-0.98,-1.875
smithla01,-0.03030303030303031,0.20769230769230768
