Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
CHI,85,BOS,92,199710310BOS,1998,1,BOS,BOS-1998,7,FALSE,TRUE,TRUE
CLE,86,HOU,94,199710310HOU,1998,1,HOU,HOU-1998,8,FALSE,TRUE,TRUE
UTA,87,LAL,104,199710310LAL,1998,1,LAL,LAL-1998,17,FALSE,TRUE,TRUE
PHI,74,CHI,94,199711010CHI,1998,1,CHI,CHI-1998,20,FALSE,TRUE,TRUE
DEN,84,UTA,102,199711010UTA,1998,1,UTA,UTA-1998,18,FALSE,TRUE,TRUE
HOU,93,SAC,77,199711020SAC,1998,0,SAC,SAC-1998,-16,FALSE,TRUE,TRUE
SAS,83,CHI,87,199711030CHI,1998,1,CHI,CHI-1998,4,FALSE,TRUE,TRUE
WAS,90,UTA,86,199711030UTA,1998,0,UTA,UTA-1998,-4,FALSE,TRUE,TRUE
UTA,84,PHO,106,199711040PHO,1998,1,PHO,PHO-1998,22,FALSE,TRUE,TRUE
HOU,94,SEA,118,199711040SEA,1998,1,SEA,SEA-1998,24,FALSE,TRUE,TRUE
ORL,81,CHI,94,199711050CHI,1998,1,CHI,CHI-1998,13,FALSE,TRUE,TRUE
HOU,124,LAC,110,199711050LAC,1998,0,LAC,LAC-1998,-14,FALSE,TRUE,TRUE
CHI,78,ATL,80,199711070ATL,1998,1,ATL,ATL-1998,2,FALSE,TRUE,TRUE
UTA,91,DEN,89,199711070DEN,1998,0,DEN,DEN-1998,-2,FALSE,TRUE,TRUE
POR,86,HOU,85,199711070HOU,1998,0,HOU,HOU-1998,-1,FALSE,TRUE,TRUE
NJN,86,CHI,99,199711080CHI,1998,1,CHI,CHI-1998,13,FALSE,TRUE,TRUE
UTA,80,SAS,87,199711080SAS,1998,1,SAS,SAS-1998,7,FALSE,TRUE,TRUE
CHI,80,CLE,101,199711110CLE,1998,1,CLE,CLE-1998,21,FALSE,TRUE,TRUE
WAS,90,CHI,83,199711120CHI,1998,0,CHI,CHI-1998,-7,FALSE,TRUE,TRUE
PHI,114,HOU,100,199711120HOU,1998,0,HOU,HOU-1998,-14,FALSE,TRUE,TRUE
VAN,80,UTA,98,199711120UTA,1998,1,UTA,UTA-1998,18,FALSE,TRUE,TRUE
CHH,92,CHI,105,199711140CHI,1998,1,CHI,CHI-1998,13,FALSE,TRUE,TRUE
LAL,113,HOU,103,199711140HOU,1998,0,HOU,HOU-1998,-10,FALSE,TRUE,TRUE
SEA,104,UTA,110,199711140UTA,1998,1,UTA,UTA-1998,6,FALSE,TRUE,TRUE
CLE,70,CHI,79,199711150CHI,1998,1,CHI,CHI-1998,9,FALSE,TRUE,TRUE
UTA,85,DAL,77,199711150DAL,1998,0,DAL,DAL-1998,-8,FALSE,TRUE,TRUE
HOU,94,PHO,96,199711160PHO,1998,1,PHO,PHO-1998,2,FALSE,TRUE,TRUE
NYK,84,HOU,95,199711180HOU,1998,1,HOU,HOU-1998,11,FALSE,TRUE,TRUE
LAL,97,UTA,92,199711180UTA,1998,0,UTA,UTA-1998,-5,FALSE,TRUE,TRUE
TOR,97,HOU,127,199711200HOU,1998,1,HOU,HOU-1998,30,FALSE,TRUE,TRUE
CHI,85,PHO,89,199711200PHO,1998,1,PHO,PHO-1998,4,FALSE,TRUE,TRUE
UTA,95,SAC,97,199711200SAC,1998,1,SAC,SAC-1998,2,FALSE,TRUE,TRUE
CHI,111,LAC,102,199711210LAC,1998,0,LAC,LAC-1998,-9,FALSE,TRUE,TRUE
GSW,84,HOU,90,199711220HOU,1998,1,HOU,HOU-1998,6,FALSE,TRUE,TRUE
SAS,74,UTA,103,199711220UTA,1998,1,UTA,UTA-1998,29,FALSE,TRUE,TRUE
CHI,103,SAC,88,199711230SAC,1998,0,SAC,SAC-1998,-15,FALSE,TRUE,TRUE
MIN,124,UTA,133,199711240UTA,1998,1,UTA,UTA-1998,9,FALSE,TRUE,TRUE
CHI,90,SEA,91,199711250SEA,1998,1,SEA,SEA-1998,1,FALSE,TRUE,TRUE
CHI,83,IND,94,199711280IND,1998,1,IND,IND-1998,11,FALSE,TRUE,TRUE
HOU,98,POR,89,199711280POR,1998,0,POR,POR-1998,-9,FALSE,TRUE,TRUE
GSW,82,UTA,111,199711280UTA,1998,1,UTA,UTA-1998,29,FALSE,TRUE,TRUE
HOU,107,GSW,100,199711290GSW,1998,0,GSW,GSW-1998,-7,FALSE,TRUE,TRUE
UTA,94,LAC,91,199711290LAC,1998,0,LAC,LAC-1998,-3,FALSE,TRUE,TRUE
CHI,88,WAS,83,199711290WAS,1998,0,WAS,WAS-1998,-5,FALSE,TRUE,TRUE
NJN,95,UTA,100,199712010UTA,1998,1,UTA,UTA-1998,5,FALSE,TRUE,TRUE
DEN,101,HOU,112,199712020HOU,1998,1,HOU,HOU-1998,11,FALSE,TRUE,TRUE
CHI,97,BOS,87,199712030BOS,1998,0,BOS,BOS-1998,-10,FALSE,TRUE,TRUE
TOR,98,UTA,115,199712030UTA,1998,1,UTA,UTA-1998,17,FALSE,TRUE,TRUE
ATL,87,HOU,94,199712040HOU,1998,1,HOU,HOU-1998,7,FALSE,TRUE,TRUE
MIL,62,CHI,84,199712050CHI,1998,1,CHI,CHI-1998,22,FALSE,TRUE,TRUE
UTA,77,POR,94,199712050POR,1998,1,POR,POR-1998,17,FALSE,TRUE,TRUE
HOU,108,DAL,106,199712060DAL,1998,0,DAL,DAL-1998,-2,FALSE,TRUE,TRUE
IND,97,UTA,106,199712080UTA,1998,1,UTA,UTA-1998,9,FALSE,TRUE,TRUE
NYK,82,CHI,100,199712090CHI,1998,1,CHI,CHI-1998,18,FALSE,TRUE,TRUE
