Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
BOS,130,DET,123,198410260DET,1985,0,DET,DET-1985,-7,FALSE,TRUE,TRUE
DET,118,NYK,137,198410270NYK,1985,1,NYK,NYK-1985,19,FALSE,TRUE,TRUE
LAL,112,SAS,113,198410270SAS,1985,1,SAS,SAS-1985,1,FALSE,TRUE,TRUE
LAL,96,DAL,107,198410280DAL,1985,1,DAL,DAL-1985,11,FALSE,TRUE,TRUE
CLE,107,DET,124,198410300DET,1985,1,DET,DET-1985,17,FALSE,TRUE,TRUE
GSW,110,LAL,144,198410300LAL,1985,1,LAL,LAL-1985,34,FALSE,TRUE,TRUE
NJN,105,BOS,116,198410310BOS,1985,1,BOS,BOS-1985,11,FALSE,TRUE,TRUE
DET,118,ATL,114,198411010ATL,1985,0,ATL,ATL-1985,-4,FALSE,TRUE,TRUE
LAL,103,SEA,105,198411010SEA,1985,1,SEA,SEA-1985,2,FALSE,TRUE,TRUE
DET,116,BOS,127,198411020BOS,1985,1,BOS,BOS-1985,11,FALSE,TRUE,TRUE
SAS,100,LAL,119,198411020LAL,1985,1,LAL,LAL-1985,19,FALSE,TRUE,TRUE
POR,116,LAL,124,198411040LAL,1985,1,LAL,LAL-1985,8,FALSE,TRUE,TRUE
DET,107,CLE,98,198411050CLE,1985,0,CLE,CLE-1985,-9,FALSE,TRUE,TRUE
DEN,146,LAL,130,198411060LAL,1985,0,LAL,LAL-1985,-16,FALSE,TRUE,TRUE
LAC,108,BOS,135,198411070BOS,1985,1,BOS,BOS-1985,27,FALSE,TRUE,TRUE
CHI,122,DET,118,198411070DET,1985,0,DET,DET-1985,-4,FALSE,TRUE,TRUE
LAL,106,GSW,122,198411080GSW,1985,1,GSW,GSW-1985,16,FALSE,TRUE,TRUE
PHI,119,BOS,130,198411090BOS,1985,1,BOS,BOS-1985,11,FALSE,TRUE,TRUE
LAL,130,POR,126,198411090POR,1985,0,POR,POR-1985,-4,FALSE,TRUE,TRUE
MIL,100,DET,104,198411100DET,1985,1,DET,DET-1985,4,FALSE,TRUE,TRUE
BOS,95,WSB,112,198411100WSB,1985,1,WSB,WSB-1985,17,FALSE,TRUE,TRUE
NJN,111,LAL,121,198411110LAL,1985,1,LAL,LAL-1985,10,FALSE,TRUE,TRUE
BOS,132,IND,115,198411120IND,1985,0,IND,IND-1985,-17,FALSE,TRUE,TRUE
NYK,99,BOS,115,198411140BOS,1985,1,BOS,BOS-1985,16,FALSE,TRUE,TRUE
DET,137,PHI,133,198411140PHI,1985,0,PHI,PHI-1985,-4,FALSE,TRUE,TRUE
BOS,125,CHI,105,198411150CHI,1985,0,CHI,CHI-1985,-20,FALSE,TRUE,TRUE
PHI,101,DET,90,198411160DET,1985,0,DET,DET-1985,-11,FALSE,TRUE,TRUE
KCK,116,LAL,128,198411160LAL,1985,1,LAL,LAL-1985,12,FALSE,TRUE,TRUE
DET,124,DAL,110,198411170DAL,1985,0,DAL,DAL-1985,-14,FALSE,TRUE,TRUE
MIL,89,LAL,96,198411180LAL,1985,1,LAL,LAL-1985,7,FALSE,TRUE,TRUE
DET,117,HOU,123,198411200HOU,1985,1,HOU,HOU-1985,6,FALSE,TRUE,TRUE
PHO,108,LAL,130,198411200LAL,1985,1,LAL,LAL-1985,22,FALSE,TRUE,TRUE
GSW,91,BOS,135,198411210BOS,1985,1,BOS,BOS-1985,44,FALSE,TRUE,TRUE
LAL,102,PHO,97,198411210PHO,1985,0,PHO,PHO-1985,-5,FALSE,TRUE,TRUE
DET,114,SAS,101,198411210SAS,1985,0,SAS,SAS-1985,-13,FALSE,TRUE,TRUE
WSB,110,BOS,118,198411230BOS,1985,1,BOS,BOS-1985,8,FALSE,TRUE,TRUE
NYK,120,DET,97,198411230DET,1985,0,DET,DET-1985,-23,FALSE,TRUE,TRUE
BOS,135,KCK,124,198411240KCK,1985,0,KCK,KCK-1985,-11,FALSE,TRUE,TRUE
LAL,108,LAC,103,198411240LAC,1985,0,LAC,LAC-1985,-5,FALSE,TRUE,TRUE
DET,106,WSB,112,198411240WSB,1985,1,WSB,WSB-1985,6,FALSE,TRUE,TRUE
SEA,105,LAL,94,198411250LAL,1985,0,LAL,LAL-1985,-11,FALSE,TRUE,TRUE
BOS,114,DAL,99,198411270DAL,1985,0,DAL,DAL-1985,-15,FALSE,TRUE,TRUE
POR,113,DET,120,198411280DET,1985,1,DET,DET-1985,7,FALSE,TRUE,TRUE
BOS,110,HOU,100,198411280HOU,1985,0,HOU,HOU-1985,-10,FALSE,TRUE,TRUE
LAL,114,UTA,109,198411280UTA,1985,0,UTA,UTA-1985,-5,FALSE,TRUE,TRUE
