Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
NYK,85,CHI,126,199104250CHI,1991,1,CHI,CHI-1991,41,TRUE,TRUE,TRUE
HOU,92,LAL,94,199104250LAL,1991,1,LAL,LAL-1991,2,TRUE,TRUE,TRUE
UTA,129,PHO,90,199104250PHO,1991,0,PHO,PHO-1991,-39,TRUE,TRUE,TRUE
HOU,98,LAL,109,199104270LAL,1991,1,LAL,LAL-1991,11,TRUE,TRUE,TRUE
UTA,92,PHO,102,199104270PHO,1991,1,PHO,PHO-1991,10,TRUE,TRUE,TRUE
NYK,79,CHI,89,199104280CHI,1991,1,CHI,CHI-1991,10,TRUE,TRUE,TRUE
LAL,94,HOU,90,199104300HOU,1991,0,HOU,HOU-1991,-4,TRUE,TRUE,TRUE
CHI,103,NYK,94,199104300NYK,1991,0,NYK,NYK-1991,-9,TRUE,TRUE,TRUE
PHO,98,UTA,107,199104300UTA,1991,1,UTA,UTA-1991,9,TRUE,TRUE,TRUE
PHO,93,UTA,101,199105020UTA,1991,1,UTA,UTA-1991,8,TRUE,TRUE,TRUE
PHI,92,CHI,105,199105040CHI,1991,1,CHI,CHI-1991,13,TRUE,TRUE,TRUE
PHI,100,CHI,112,199105060CHI,1991,1,CHI,CHI-1991,12,TRUE,TRUE,TRUE
UTA,97,POR,117,199105070POR,1991,1,POR,POR-1991,20,TRUE,TRUE,TRUE
UTA,116,POR,118,199105090POR,1991,1,POR,POR-1991,2,TRUE,TRUE,TRUE
CHI,97,PHI,99,199105100PHI,1991,1,PHI,PHI-1991,2,TRUE,TRUE,TRUE
POR,101,UTA,107,199105110UTA,1991,1,UTA,UTA-1991,6,TRUE,TRUE,TRUE
CHI,101,PHI,85,199105120PHI,1991,0,PHI,PHI-1991,-16,TRUE,TRUE,TRUE
POR,104,UTA,101,199105120UTA,1991,0,UTA,UTA-1991,-3,TRUE,TRUE,TRUE
PHI,95,CHI,100,199105140CHI,1991,1,CHI,CHI-1991,5,TRUE,TRUE,TRUE
UTA,96,POR,103,199105140POR,1991,1,POR,POR-1991,7,TRUE,TRUE,TRUE
DET,83,CHI,94,199105190CHI,1991,1,CHI,CHI-1991,11,TRUE,TRUE,TRUE
DET,97,CHI,105,199105210CHI,1991,1,CHI,CHI-1991,8,TRUE,TRUE,TRUE
CHI,113,DET,107,199105250DET,1991,0,DET,DET-1991,-6,TRUE,TRUE,TRUE
CHI,115,DET,94,199105270DET,1991,0,DET,DET-1991,-21,TRUE,TRUE,TRUE
LAL,93,CHI,91,199106020CHI,1991,0,CHI,CHI-1991,-2,TRUE,TRUE,TRUE
LAL,86,CHI,107,199106050CHI,1991,1,CHI,CHI-1991,21,TRUE,TRUE,TRUE
CHI,104,LAL,96,199106070LAL,1991,0,LAL,LAL-1991,-8,TRUE,TRUE,TRUE
CHI,97,LAL,82,199106090LAL,1991,0,LAL,LAL-1991,-15,TRUE,TRUE,TRUE
CHI,108,LAL,101,199106120LAL,1991,0,LAL,LAL-1991,-7,TRUE,TRUE,TRUE
MIA,94,CHI,113,199204240CHI,1992,1,CHI,CHI-1992,19,TRUE,TRUE,TRUE
LAC,97,UTA,115,199204240UTA,1992,1,UTA,UTA-1992,18,TRUE,TRUE,TRUE
MIA,90,CHI,120,199204260CHI,1992,1,CHI,CHI-1992,30,TRUE,TRUE,TRUE
LAC,92,UTA,103,199204260UTA,1992,1,UTA,UTA-1992,11,TRUE,TRUE,TRUE
UTA,88,LAC,98,199204280LAC,1992,1,LAC,LAC-1992,10,TRUE,TRUE,TRUE
CHI,119,MIA,114,199204290MIA,1992,0,MIA,MIA-1992,-5,TRUE,TRUE,TRUE
UTA,107,LAC,115,199205030LAC,1992,1,LAC,LAC-1992,8,TRUE,TRUE,TRUE
LAC,89,UTA,98,199205040UTA,1992,1,UTA,UTA-1992,9,TRUE,TRUE,TRUE
NYK,94,CHI,89,199205050CHI,1992,0,CHI,CHI-1992,-5,TRUE,TRUE,TRUE
SEA,100,UTA,108,199205060UTA,1992,1,UTA,UTA-1992,8,TRUE,TRUE,TRUE
NYK,78,CHI,86,199205070CHI,1992,1,CHI,CHI-1992,8,TRUE,TRUE,TRUE
SEA,97,UTA,103,199205080UTA,1992,1,UTA,UTA-1992,6,TRUE,TRUE,TRUE
CHI,94,NYK,86,199205090NYK,1992,0,NYK,NYK-1992,-8,TRUE,TRUE,TRUE
CHI,86,NYK,93,199205100NYK,1992,1,NYK,NYK-1992,7,TRUE,TRUE,TRUE
UTA,98,SEA,104,199205100SEA,1992,1,SEA,SEA-1992,6,TRUE,TRUE,TRUE
NYK,88,CHI,96,199205120CHI,1992,1,CHI,CHI-1992,8,TRUE,TRUE,TRUE
