Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
DET,85,MIA,95,200004220MIA,2000,1,MIA,MIA-2000,10,TRUE,TRUE,TRUE
PHO,72,SAS,70,200004220SAS,2000,0,SAS,SAS-2000,-2,TRUE,TRUE,TRUE
SAC,107,LAL,117,200004230LAL,2000,1,LAL,LAL-2000,10,TRUE,TRUE,TRUE
DET,82,MIA,84,200004250MIA,2000,1,MIA,MIA-2000,2,TRUE,TRUE,TRUE
PHO,70,SAS,85,200004250SAS,2000,1,SAS,SAS-2000,15,TRUE,TRUE,TRUE
SAC,89,LAL,113,200004270LAL,2000,1,LAL,LAL-2000,24,TRUE,TRUE,TRUE
MIA,91,DET,72,200004290DET,2000,0,DET,DET-2000,-19,TRUE,TRUE,TRUE
SAS,94,PHO,101,200004290PHO,2000,1,PHO,PHO-2000,7,TRUE,TRUE,TRUE
LAL,91,SAC,99,200004300SAC,2000,1,SAC,SAC-2000,8,TRUE,TRUE,TRUE
SAS,78,PHO,89,200005020PHO,2000,1,PHO,PHO-2000,11,TRUE,TRUE,TRUE
LAL,88,SAC,101,200005020SAC,2000,1,SAC,SAC-2000,13,TRUE,TRUE,TRUE
SAC,86,LAL,113,200005050LAL,2000,1,LAL,LAL-2000,27,TRUE,TRUE,TRUE
PHO,77,LAL,105,200005070LAL,2000,1,LAL,LAL-2000,28,TRUE,TRUE,TRUE
PHO,96,LAL,97,200005100LAL,2000,1,LAL,LAL-2000,1,TRUE,TRUE,TRUE
LAL,105,PHO,99,200005120PHO,2000,0,PHO,PHO-2000,-6,TRUE,TRUE,TRUE
LAL,98,PHO,117,200005140PHO,2000,1,PHO,PHO-2000,19,TRUE,TRUE,TRUE
PHO,65,LAL,87,200005160LAL,2000,1,LAL,LAL-2000,22,TRUE,TRUE,TRUE
POR,94,LAL,109,200005200LAL,2000,1,LAL,LAL-2000,15,TRUE,TRUE,TRUE
POR,106,LAL,77,200005220LAL,2000,0,LAL,LAL-2000,-29,TRUE,TRUE,TRUE
LAL,93,POR,91,200005260POR,2000,0,POR,POR-2000,-2,TRUE,TRUE,TRUE
LAL,103,POR,91,200005280POR,2000,0,POR,POR-2000,-12,TRUE,TRUE,TRUE
POR,96,LAL,88,200005300LAL,2000,0,LAL,LAL-2000,-8,TRUE,TRUE,TRUE
LAL,93,POR,103,200006020POR,2000,1,POR,POR-2000,10,TRUE,TRUE,TRUE
POR,84,LAL,89,200006040LAL,2000,1,LAL,LAL-2000,5,TRUE,TRUE,TRUE
IND,87,LAL,104,200006070LAL,2000,1,LAL,LAL-2000,17,TRUE,TRUE,TRUE
IND,104,LAL,111,200006090LAL,2000,1,LAL,LAL-2000,7,TRUE,TRUE,TRUE
LAL,91,IND,100,200006110IND,2000,1,IND,IND-2000,9,TRUE,TRUE,TRUE
LAL,120,IND,118,200006140IND,2000,0,IND,IND-2000,-2,TRUE,TRUE,TRUE
LAL,87,IND,120,200006160IND,2000,1,IND,IND-2000,33,TRUE,TRUE,TRUE
IND,111,LAL,116,200006190LAL,2000,1,LAL,LAL-2000,5,TRUE,TRUE,TRUE
MIN,82,SAS,87,200104210SAS,2001,1,SAS,SAS-2001,5,TRUE,TRUE,TRUE
POR,93,LAL,106,200104220LAL,2001,1,LAL,LAL-2001,13,TRUE,TRUE,TRUE
MIN,69,SAS,86,200104230SAS,2001,1,SAS,SAS-2001,17,TRUE,TRUE,TRUE
POR,88,LAL,106,200104260LAL,2001,1,LAL,LAL-2001,18,TRUE,TRUE,TRUE
SAS,84,MIN,93,200104280MIN,2001,1,MIN,MIN-2001,9,TRUE,TRUE,TRUE
LAL,99,POR,86,200104290POR,2001,0,POR,POR-2001,-13,TRUE,TRUE,TRUE
SAS,97,MIN,84,200104300MIN,2001,0,MIN,MIN-2001,-13,TRUE,TRUE,TRUE
DAL,78,SAS,94,200105050SAS,2001,1,SAS,SAS-2001,16,TRUE,TRUE,TRUE
SAC,105,LAL,108,200105060LAL,2001,1,LAL,LAL-2001,3,TRUE,TRUE,TRUE
DAL,86,SAS,100,200105070SAS,2001,1,SAS,SAS-2001,14,TRUE,TRUE,TRUE
SAC,90,LAL,96,200105080LAL,2001,1,LAL,LAL-2001,6,TRUE,TRUE,TRUE
SAS,104,DAL,90,200105090DAL,2001,0,DAL,DAL-2001,-14,TRUE,TRUE,TRUE
LAL,103,SAC,81,200105110SAC,2001,0,SAC,SAC-2001,-22,TRUE,TRUE,TRUE
SAS,108,DAL,112,200105120DAL,2001,1,DAL,DAL-2001,4,TRUE,TRUE,TRUE
LAL,119,SAC,113,200105130SAC,2001,0,SAC,SAC-2001,-6,TRUE,TRUE,TRUE
DAL,87,SAS,105,200105140SAS,2001,1,SAS,SAS-2001,18,TRUE,TRUE,TRUE
LAL,104,SAS,90,200105190SAS,2001,0,SAS,SAS-2001,-14,TRUE,TRUE,TRUE
LAL,88,SAS,81,200105210SAS,2001,0,SAS,SAS-2001,-7,TRUE,TRUE,TRUE
SAS,72,LAL,111,200105250LAL,2001,1,LAL,LAL-2001,39,TRUE,TRUE,TRUE
SAS,82,LAL,111,200105270LAL,2001,1,LAL,LAL-2001,29,TRUE,TRUE,TRUE
PHI,107,LAL,101,200106060LAL,2001,0,LAL,LAL-2001,-6,TRUE,TRUE,TRUE
PHI,89,LAL,98,200106080LAL,2001,1,LAL,LAL-2001,9,TRUE,TRUE,TRUE
LAL,96,PHI,91,200106100PHI,2001,0,PHI,PHI-2001,-5,TRUE,TRUE,TRUE
LAL,100,PHI,86,200106130PHI,2001,0,PHI,PHI-2001,-14,TRUE,TRUE,TRUE
LAL,108,PHI,96,200106150PHI,2001,0,PHI,PHI-2001,-12,TRUE,TRUE,TRUE
SEA,89,SAS,110,200204200SAS,2002,1,SAS,SAS-2002,21,TRUE,TRUE,TRUE
PHI,82,BOS,92,200204210BOS,2002,1,BOS,BOS-2002,10,TRUE,TRUE,TRUE
POR,87,LAL,95,200204210LAL,2002,1,LAL,LAL-2002,8,TRUE,TRUE,TRUE
TOR,63,DET,85,200204210DET,2002,1,DET,DET-2002,22,TRUE,TRUE,TRUE
SEA,98,SAS,90,200204220SAS,2002,0,SAS,SAS-2002,-8,TRUE,TRUE,TRUE
TOR,91,DET,96,200204240DET,2002,1,DET,DET-2002,5,TRUE,TRUE,TRUE
PHI,85,BOS,93,200204250BOS,2002,1,BOS,BOS-2002,8,TRUE,TRUE,TRUE
POR,96,LAL,103,200204250LAL,2002,1,LAL,LAL-2002,7,TRUE,TRUE,TRUE
SAS,102,SEA,75,200204270SEA,2002,0,SEA,SEA-2002,-27,TRUE,TRUE,TRUE
DET,84,TOR,94,200204270TOR,2002,1,TOR,TOR-2002,10,TRUE,TRUE,TRUE
BOS,103,PHI,108,200204280PHI,2002,1,PHI,PHI-2002,5,TRUE,TRUE,TRUE
LAL,92,POR,91,200204280POR,2002,0,POR,POR-2002,-1,TRUE,TRUE,TRUE
DET,83,TOR,89,200204290TOR,2002,1,TOR,TOR-2002,6,TRUE,TRUE,TRUE
BOS,81,PHI,83,200205010PHI,2002,1,PHI,PHI-2002,2,TRUE,TRUE,TRUE
SAS,79,SEA,91,200205010SEA,2002,1,SEA,SEA-2002,12,TRUE,TRUE,TRUE
TOR,82,DET,85,200205020DET,2002,1,DET,DET-2002,3,TRUE,TRUE,TRUE
PHI,87,BOS,120,200205030BOS,2002,1,BOS,BOS-2002,33,TRUE,TRUE,TRUE
SEA,78,SAS,101,200205030SAS,2002,1,SAS,SAS-2002,23,TRUE,TRUE,TRUE
BOS,84,DET,96,200205050DET,2002,1,DET,DET-2002,12,TRUE,TRUE,TRUE
SAS,80,LAL,86,200205050LAL,2002,1,LAL,LAL-2002,6,TRUE,TRUE,TRUE
SAS,88,LAL,85,200205070LAL,2002,0,LAL,LAL-2002,-3,TRUE,TRUE,TRUE
BOS,85,DET,77,200205080DET,2002,0,DET,DET-2002,-8,TRUE,TRUE,TRUE
DET,64,BOS,66,200205100BOS,2002,1,BOS,BOS-2002,2,TRUE,TRUE,TRUE
LAL,99,SAS,89,200205100SAS,2002,0,SAS,SAS-2002,-10,TRUE,TRUE,TRUE
DET,79,BOS,90,200205120BOS,2002,1,BOS,BOS-2002,11,TRUE,TRUE,TRUE
LAL,87,SAS,85,200205120SAS,2002,0,SAS,SAS-2002,-2,TRUE,TRUE,TRUE
BOS,90,DET,81,200205140DET,2002,0,DET,DET-2002,-9,TRUE,TRUE,TRUE
SAS,87,LAL,93,200205140LAL,2002,1,LAL,LAL-2002,6,TRUE,TRUE,TRUE
LAL,106,SAC,99,200205180SAC,2002,0,SAC,SAC-2002,-7,TRUE,TRUE,TRUE
BOS,97,NJN,104,200205190NJN,2002,1,NJN,NJN-2002,7,TRUE,TRUE,TRUE
LAL,90,SAC,96,200205200SAC,2002,1,SAC,SAC-2002,6,TRUE,TRUE,TRUE
BOS,93,NJN,86,200205210NJN,2002,0,NJN,NJN-2002,-7,TRUE,TRUE,TRUE
SAC,103,LAL,90,200205240LAL,2002,0,LAL,LAL-2002,-13,TRUE,TRUE,TRUE
NJN,90,BOS,94,200205250BOS,2002,1,BOS,BOS-2002,4,TRUE,TRUE,TRUE
SAC,99,LAL,100,200205260LAL,2002,1,LAL,LAL-2002,1,TRUE,TRUE,TRUE
NJN,94,BOS,92,200205270BOS,2002,0,BOS,BOS-2002,-2,TRUE,TRUE,TRUE
LAL,91,SAC,92,200205280SAC,2002,1,SAC,SAC-2002,1,TRUE,TRUE,TRUE
BOS,92,NJN,103,200205290NJN,2002,1,NJN,NJN-2002,11,TRUE,TRUE,TRUE
NJN,96,BOS,88,200205310BOS,2002,0,BOS,BOS-2002,-8,TRUE,TRUE,TRUE
SAC,102,LAL,106,200205310LAL,2002,1,LAL,LAL-2002,4,TRUE,TRUE,TRUE
LAL,112,SAC,106,200206020SAC,2002,0,SAC,SAC-2002,-6,TRUE,TRUE,TRUE
NJN,94,LAL,99,200206050LAL,2002,1,LAL,LAL-2002,5,TRUE,TRUE,TRUE
NJN,83,LAL,106,200206070LAL,2002,1,LAL,LAL-2002,23,TRUE,TRUE,TRUE
LAL,106,NJN,103,200206090NJN,2002,0,NJN,NJN-2002,-3,TRUE,TRUE,TRUE
LAL,113,NJN,107,200206120NJN,2002,0,NJN,NJN-2002,-6,TRUE,TRUE,TRUE
BOS,103,IND,100,200304190IND,2003,0,IND,IND-2003,-3,TRUE,TRUE,TRUE
PHO,96,SAS,95,200304190SAS,2003,0,SAS,SAS-2003,-1,TRUE,TRUE,TRUE
ORL,99,DET,94,200304200DET,2003,0,DET,DET-2003,-5,TRUE,TRUE,TRUE
LAL,117,MIN,98,200304200MIN,2003,0,MIN,MIN-2003,-19,TRUE,TRUE,TRUE
PHO,76,SAS,84,200304210SAS,2003,1,SAS,SAS-2003,8,TRUE,TRUE,TRUE
BOS,77,IND,89,200304210IND,2003,1,IND,IND-2003,12,TRUE,TRUE,TRUE
LAL,91,MIN,119,200304220MIN,2003,1,MIN,MIN-2003,28,TRUE,TRUE,TRUE
ORL,77,DET,89,200304230DET,2003,1,DET,DET-2003,12,TRUE,TRUE,TRUE
IND,83,BOS,101,200304240BOS,2003,1,BOS,BOS-2003,18,TRUE,TRUE,TRUE
MIN,114,LAL,110,200304240LAL,2003,0,LAL,LAL-2003,-4,TRUE,TRUE,TRUE
DET,80,ORL,89,200304250ORL,2003,1,ORL,ORL-2003,9,TRUE,TRUE,TRUE
SAS,99,PHO,86,200304250PHO,2003,0,PHO,PHO-2003,-13,TRUE,TRUE,TRUE
IND,92,BOS,102,200304270BOS,2003,1,BOS,BOS-2003,10,TRUE,TRUE,TRUE
MIN,97,LAL,102,200304270LAL,2003,1,LAL,LAL-2003,5,TRUE,TRUE,TRUE
DET,92,ORL,100,200304270ORL,2003,1,ORL,ORL-2003,8,TRUE,TRUE,TRUE
SAS,84,PHO,86,200304270PHO,2003,1,PHO,PHO-2003,2,TRUE,TRUE,TRUE
PHO,82,SAS,94,200304290SAS,2003,1,SAS,SAS-2003,12,TRUE,TRUE,TRUE
BOS,88,IND,93,200304290IND,2003,1,IND,IND-2003,5,TRUE,TRUE,TRUE
LAL,120,MIN,90,200304290MIN,2003,0,MIN,MIN-2003,-30,TRUE,TRUE,TRUE
ORL,67,DET,98,200304300DET,2003,1,DET,DET-2003,31,TRUE,TRUE,TRUE
IND,90,BOS,110,200305010BOS,2003,1,BOS,BOS-2003,20,TRUE,TRUE,TRUE
SAS,87,PHO,85,200305010PHO,2003,0,PHO,PHO-2003,-2,TRUE,TRUE,TRUE
MIN,85,LAL,101,200305010LAL,2003,1,LAL,LAL-2003,16,TRUE,TRUE,TRUE
