Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
CHI,83,CLE,96,201004170CLE,2010,1,CLE,CLE-2010,13,TRUE,TRUE,TRUE
MIA,76,BOS,85,201004170BOS,2010,1,BOS,BOS-2010,9,TRUE,TRUE,TRUE
SAS,94,DAL,100,201004180DAL,2010,1,DAL,DAL-2010,6,TRUE,TRUE,TRUE
CHI,102,CLE,112,201004190CLE,2010,1,CLE,CLE-2010,10,TRUE,TRUE,TRUE
MIA,77,BOS,106,201004200BOS,2010,1,BOS,BOS-2010,29,TRUE,TRUE,TRUE
SAS,102,DAL,88,201004210DAL,2010,0,DAL,DAL-2010,-14,TRUE,TRUE,TRUE
CLE,106,CHI,108,201004220CHI,2010,1,CHI,CHI-2010,2,TRUE,TRUE,TRUE
BOS,100,MIA,98,201004230MIA,2010,0,MIA,MIA-2010,-2,TRUE,TRUE,TRUE
DAL,90,SAS,94,201004230SAS,2010,1,SAS,SAS-2010,4,TRUE,TRUE,TRUE
BOS,92,MIA,101,201004250MIA,2010,1,MIA,MIA-2010,9,TRUE,TRUE,TRUE
CLE,121,CHI,98,201004250CHI,2010,0,CHI,CHI-2010,-23,TRUE,TRUE,TRUE
DAL,89,SAS,92,201004250SAS,2010,1,SAS,SAS-2010,3,TRUE,TRUE,TRUE
MIA,86,BOS,96,201004270BOS,2010,1,BOS,BOS-2010,10,TRUE,TRUE,TRUE
CHI,94,CLE,96,201004270CLE,2010,1,CLE,CLE-2010,2,TRUE,TRUE,TRUE
SAS,81,DAL,103,201004270DAL,2010,1,DAL,DAL-2010,22,TRUE,TRUE,TRUE
DAL,87,SAS,97,201004290SAS,2010,1,SAS,SAS-2010,10,TRUE,TRUE,TRUE
BOS,93,CLE,101,201005010CLE,2010,1,CLE,CLE-2010,8,TRUE,TRUE,TRUE
BOS,104,CLE,86,201005030CLE,2010,0,CLE,CLE-2010,-18,TRUE,TRUE,TRUE
SAS,102,PHO,111,201005030PHO,2010,1,PHO,PHO-2010,9,TRUE,TRUE,TRUE
SAS,102,PHO,110,201005050PHO,2010,1,PHO,PHO-2010,8,TRUE,TRUE,TRUE
CLE,124,BOS,95,201005070BOS,2010,0,BOS,BOS-2010,-29,TRUE,TRUE,TRUE
PHO,110,SAS,96,201005070SAS,2010,0,SAS,SAS-2010,-14,TRUE,TRUE,TRUE
CLE,87,BOS,97,201005090BOS,2010,1,BOS,BOS-2010,10,TRUE,TRUE,TRUE
PHO,107,SAS,101,201005090SAS,2010,0,SAS,SAS-2010,-6,TRUE,TRUE,TRUE
BOS,120,CLE,88,201005110CLE,2010,0,CLE,CLE-2010,-32,TRUE,TRUE,TRUE
CLE,85,BOS,94,201005130BOS,2010,1,BOS,BOS-2010,9,TRUE,TRUE,TRUE
PHI,89,MIA,97,201104160MIA,2011,1,MIA,MIA-2011,8,TRUE,TRUE,TRUE
MEM,101,SAS,98,201104170SAS,2011,0,SAS,SAS-2011,-3,TRUE,TRUE,TRUE
PHI,73,MIA,94,201104180MIA,2011,1,MIA,MIA-2011,21,TRUE,TRUE,TRUE
MEM,87,SAS,93,201104200SAS,2011,1,SAS,SAS-2011,6,TRUE,TRUE,TRUE
