Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
BOS,95,CLE,89,200910270CLE,2010,0,CLE,CLE-2010,-6,FALSE,TRUE,TRUE
CLE,91,TOR,101,200910280TOR,2010,1,TOR,TOR-2010,10,FALSE,TRUE,TRUE
NYK,93,MIA,115,200910280MIA,2010,1,MIA,MIA-2010,22,FALSE,TRUE,TRUE
NOH,96,SAS,113,200910280SAS,2010,1,SAS,SAS-2010,17,FALSE,TRUE,TRUE
HOU,108,GSW,107,200910280GSW,2010,0,GSW,GSW-2010,-1,FALSE,TRUE,TRUE
SAS,85,CHI,92,200910290CHI,2010,1,CHI,CHI-2010,7,FALSE,TRUE,TRUE
CLE,104,MIN,87,200910300MIN,2010,0,MIN,MIN-2010,-17,FALSE,TRUE,TRUE
MIA,96,IND,83,200910300IND,2010,0,IND,IND-2010,-13,FALSE,TRUE,TRUE
GSW,101,PHO,123,200910300PHO,2010,1,PHO,PHO-2010,22,FALSE,TRUE,TRUE
CHA,79,CLE,90,200910310CLE,2010,1,CLE,CLE-2010,11,FALSE,TRUE,TRUE
SAC,94,SAS,113,200910310SAS,2010,1,SAS,SAS-2010,19,FALSE,TRUE,TRUE
CHI,87,MIA,95,200911010MIA,2010,1,MIA,MIA-2010,8,FALSE,TRUE,TRUE
WAS,90,CLE,102,200911030CLE,2010,1,CLE,CLE-2010,12,FALSE,TRUE,TRUE
PHO,104,MIA,96,200911030MIA,2010,0,MIA,MIA-2010,-8,FALSE,TRUE,TRUE
MIA,93,WAS,89,200911040WAS,2010,0,WAS,WAS-2010,-4,FALSE,TRUE,TRUE
MEM,105,GSW,113,200911040GSW,2010,1,GSW,GSW-2010,8,FALSE,TRUE,TRUE
CHI,86,CLE,85,200911050CLE,2010,0,CLE,CLE-2010,-1,FALSE,TRUE,TRUE
SAS,99,UTA,113,200911050UTA,2010,1,UTA,UTA-2010,14,FALSE,TRUE,TRUE
DEN,88,MIA,96,200911060MIA,2010,1,MIA,MIA-2010,8,FALSE,TRUE,TRUE
CLE,100,NYK,91,200911060NYK,2010,0,NYK,NYK-2010,-9,FALSE,TRUE,TRUE
LAC,118,GSW,90,200911060GSW,2010,0,GSW,GSW-2010,-28,FALSE,TRUE,TRUE
SAS,84,POR,96,200911060POR,2010,1,POR,POR-2010,12,FALSE,TRUE,TRUE
GSW,107,SAC,120,200911080SAC,2010,1,SAC,SAC-2010,13,FALSE,TRUE,TRUE
TOR,124,SAS,131,200911090SAS,2010,1,SAS,SAS-2010,7,FALSE,TRUE,TRUE
MIN,105,GSW,146,200911090GSW,2010,1,GSW,GSW-2010,41,FALSE,TRUE,TRUE
WAS,76,MIA,90,200911100MIA,2010,1,MIA,MIA-2010,14,FALSE,TRUE,TRUE
GSW,94,IND,108,200911110IND,2010,1,IND,IND-2010,14,FALSE,TRUE,TRUE
CLE,102,ORL,93,200911110ORL,2010,0,ORL,ORL-2010,-9,FALSE,TRUE,TRUE
DAL,83,SAS,92,200911110SAS,2010,1,SAS,SAS-2010,9,FALSE,TRUE,TRUE
CLE,111,MIA,104,200911120MIA,2010,0,MIA,MIA-2010,-7,FALSE,TRUE,TRUE
GSW,121,NYK,107,200911130NYK,2010,0,NYK,NYK-2010,-14,FALSE,TRUE,TRUE
UTA,103,CLE,107,200911140CLE,2010,1,CLE,CLE-2010,4,FALSE,TRUE,TRUE
NJN,80,MIA,81,200911140MIA,2010,1,MIA,MIA-2010,1,FALSE,TRUE,TRUE
GSW,125,MIL,129,200911140MIL,2010,1,MIL,MIL-2010,4,FALSE,TRUE,TRUE
OKC,101,SAS,98,200911140SAS,2010,0,SAS,SAS-2010,-3,FALSE,TRUE,TRUE
GSW,108,CLE,114,200911170CLE,2010,1,CLE,CLE-2010,6,FALSE,TRUE,TRUE
OKC,100,MIA,87,200911170MIA,2010,0,MIA,MIA-2010,-13,FALSE,TRUE,TRUE
MIA,90,ATL,105,200911180ATL,2010,1,ATL,ATL-2010,15,FALSE,TRUE,TRUE
CLE,91,WAS,108,200911180WAS,2010,1,WAS,WAS-2010,17,FALSE,TRUE,TRUE
GSW,95,BOS,109,200911180BOS,2010,1,BOS,BOS-2010,14,FALSE,TRUE,TRUE
SAS,94,DAL,99,200911180DAL,2010,1,DAL,DAL-2010,5,FALSE,TRUE,TRUE
UTA,90,SAS,83,200911190SAS,2010,0,SAS,SAS-2010,-7,FALSE,TRUE,TRUE
CLE,105,IND,95,200911200IND,2010,0,IND,IND-2010,-10,FALSE,TRUE,TRUE
MIA,113,TOR,120,200911200TOR,2010,1,TOR,TOR-2010,7,FALSE,TRUE,TRUE
POR,94,GSW,108,200911200GSW,2010,1,GSW,GSW-2010,14,FALSE,TRUE,TRUE
PHI,91,CLE,97,200911210CLE,2010,1,CLE,CLE-2010,6,FALSE,TRUE,TRUE
WAS,84,SAS,106,200911210SAS,2010,1,SAS,SAS-2010,22,FALSE,TRUE,TRUE
NOH,101,MIA,102,200911220MIA,2010,1,MIA,MIA-2010,1,FALSE,TRUE,TRUE
MIL,98,SAS,112,200911230SAS,2010,1,SAS,SAS-2010,14,FALSE,TRUE,TRUE
GSW,111,DAL,103,200911240DAL,2010,0,DAL,DAL-2010,-8,FALSE,TRUE,TRUE
MIA,99,ORL,98,200911250ORL,2010,0,ORL,ORL-2010,-1,FALSE,TRUE,TRUE
CLE,98,DET,88,200911250DET,2010,0,DET,DET-2010,-10,FALSE,TRUE,TRUE
GSW,104,SAS,118,200911250SAS,2010,1,SAS,SAS-2010,14,FALSE,TRUE,TRUE
CLE,87,CHA,94,200911270CHA,2010,1,CHA,CHA-2010,7,FALSE,TRUE,TRUE
WAS,94,MIA,84,200911270MIA,2010,0,MIA,MIA-2010,-10,FALSE,TRUE,TRUE
SAS,92,HOU,84,200911270HOU,2010,0,HOU,HOU-2010,-8,FALSE,TRUE,TRUE
DAL,95,CLE,111,200911280CLE,2010,1,CLE,CLE-2010,16,FALSE,TRUE,TRUE
LAL,130,GSW,97,200911280GSW,2010,0,GSW,GSW-2010,-33,FALSE,TRUE,TRUE
BOS,92,MIA,85,200911290MIA,2010,0,MIA,MIA-2010,-7,FALSE,TRUE,TRUE
PHI,89,SAS,97,200911290SAS,2010,1,SAS,SAS-2010,8,FALSE,TRUE,TRUE
IND,107,GSW,126,200911300GSW,2010,1,GSW,GSW-2010,19,FALSE,TRUE,TRUE
