Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
SAS,80,DET,102,199912030DET,2000,1,DET,DET-2000,22,FALSE,TRUE,TRUE
POR,80,LAL,93,199912030LAL,2000,1,LAL,LAL-2000,13,FALSE,TRUE,TRUE
DET,110,ATL,112,199912040ATL,2000,1,ATL,ATL-2000,2,FALSE,TRUE,TRUE
BOS,74,PHI,77,199912040PHI,2000,1,PHI,PHI-2000,3,FALSE,TRUE,TRUE
ORL,100,LAL,117,199912050LAL,2000,1,LAL,LAL-2000,17,FALSE,TRUE,TRUE
SAS,92,TOR,98,199912050TOR,2000,1,TOR,TOR-2000,6,FALSE,TRUE,TRUE
SAS,77,IND,83,199912070IND,2000,1,IND,IND-2000,6,FALSE,TRUE,TRUE
WAS,80,LAL,91,199912070LAL,2000,1,LAL,LAL-2000,11,FALSE,TRUE,TRUE
DET,116,MIL,112,199912070MIL,2000,0,MIL,MIL-2000,-4,FALSE,TRUE,TRUE
DEN,90,BOS,115,199912080BOS,2000,1,BOS,BOS-2000,25,FALSE,TRUE,TRUE
LAL,91,SAC,103,199912080SAC,2000,1,SAC,SAC-2000,12,FALSE,TRUE,TRUE
VAN,91,SAS,99,199912090SAS,2000,1,SAS,SAS-2000,8,FALSE,TRUE,TRUE
HOU,96,BOS,100,199912100BOS,2000,1,BOS,BOS-2000,4,FALSE,TRUE,TRUE
LAC,83,DET,107,199912100DET,2000,1,DET,DET-2000,24,FALSE,TRUE,TRUE
WAS,99,SAS,89,199912110SAS,2000,0,SAS,SAS-2000,-10,FALSE,TRUE,TRUE
LAL,106,VAN,94,199912110VAN,2000,0,VAN,VAN-2000,-12,FALSE,TRUE,TRUE
DET,93,LAL,101,199912120LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
BOS,97,NYK,99,199912120NYK,2000,1,NYK,NYK-2000,2,FALSE,TRUE,TRUE
BOS,88,CLE,115,199912140CLE,2000,1,CLE,CLE-2000,27,FALSE,TRUE,TRUE
SAS,111,DAL,93,199912140DAL,2000,0,DAL,DAL-2000,-18,FALSE,TRUE,TRUE
LAC,68,LAL,95,199912140LAL,2000,1,LAL,LAL-2000,27,FALSE,TRUE,TRUE
DET,104,PHO,114,199912140PHO,2000,1,PHO,PHO-2000,10,FALSE,TRUE,TRUE
UTA,96,BOS,86,199912150BOS,2000,0,BOS,BOS-2000,-10,FALSE,TRUE,TRUE
HOU,77,SAS,83,199912150SAS,2000,1,SAS,SAS-2000,6,FALSE,TRUE,TRUE
LAL,95,ATL,88,199912160ATL,2000,0,ATL,ATL-2000,-7,FALSE,TRUE,TRUE
DET,116,GSW,108,199912160GSW,2000,0,GSW,GSW-2000,-8,FALSE,TRUE,TRUE
LAL,97,MIN,88,199912170MIN,2000,0,MIN,MIN-2000,-9,FALSE,TRUE,TRUE
BOS,94,SAS,103,199912170SAS,2000,1,SAS,SAS-2000,9,FALSE,TRUE,TRUE
SAS,84,DEN,86,199912180DEN,2000,1,DEN,DEN-2000,2,FALSE,TRUE,TRUE
PHI,91,DET,104,199912180DET,2000,1,DET,DET-2000,13,FALSE,TRUE,TRUE
BOS,94,HOU,100,199912180HOU,2000,1,HOU,HOU-2000,6,FALSE,TRUE,TRUE
LAL,94,TOR,88,199912190TOR,2000,0,TOR,TOR-2000,-6,FALSE,TRUE,TRUE
LAL,99,BOS,90,199912200BOS,2000,0,BOS,BOS-2000,-9,FALSE,TRUE,TRUE
DET,121,PHI,122,199912200PHI,2000,1,PHI,PHI-2000,1,FALSE,TRUE,TRUE
WAS,97,DET,83,199912210DET,2000,0,DET,DET-2000,-14,FALSE,TRUE,TRUE
PHO,90,SAS,91,199912210SAS,2000,1,SAS,SAS-2000,1,FALSE,TRUE,TRUE
ATL,81,BOS,98,199912220BOS,2000,1,BOS,BOS-2000,17,FALSE,TRUE,TRUE
MIL,94,SAS,91,199912230SAS,2000,0,SAS,SAS-2000,-3,FALSE,TRUE,TRUE
SAS,93,LAL,99,199912250LAL,2000,1,LAL,LAL-2000,6,FALSE,TRUE,TRUE
CHH,96,DET,114,199912260DET,2000,1,DET,DET-2000,18,FALSE,TRUE,TRUE
BOS,100,LAC,103,199912260LAC,2000,1,LAC,LAC-2000,3,FALSE,TRUE,TRUE
SAS,105,GSW,83,199912270GSW,2000,0,GSW,GSW-2000,-22,FALSE,TRUE,TRUE
DAL,106,LAL,108,199912270LAL,2000,1,LAL,LAL-2000,2,FALSE,TRUE,TRUE
BOS,101,SAC,114,199912280SAC,2000,1,SAC,SAC-2000,13,FALSE,TRUE,TRUE
DET,91,CHI,77,199912290CHI,2000,0,CHI,CHI-2000,-14,FALSE,TRUE,TRUE
PHO,87,LAL,103,199912290LAL,2000,1,LAL,LAL-2000,16,FALSE,TRUE,TRUE
BOS,102,DEN,94,199912300DEN,2000,0,DEN,DEN-2000,-8,FALSE,TRUE,TRUE
