Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
CLE,123,BOS,126,198504180BOS,1985,1,BOS,BOS-1985,3,TRUE,TRUE,TRUE
NJN,105,DET,125,198504180DET,1985,1,DET,DET-1985,20,TRUE,TRUE,TRUE
PHO,114,LAL,142,198504180LAL,1985,1,LAL,LAL-1985,28,TRUE,TRUE,TRUE
CLE,106,BOS,108,198504200BOS,1985,1,BOS,BOS-1985,2,TRUE,TRUE,TRUE
PHO,130,LAL,147,198504200LAL,1985,1,LAL,LAL-1985,17,TRUE,TRUE,TRUE
NJN,111,DET,121,198504210DET,1985,1,DET,DET-1985,10,TRUE,TRUE,TRUE
BOS,98,CLE,105,198504230CLE,1985,1,CLE,CLE-1985,7,TRUE,TRUE,TRUE
LAL,119,PHO,103,198504230PHO,1985,0,PHO,PHO-1985,-16,TRUE,TRUE,TRUE
DET,116,NJN,115,198504240NJN,1985,0,NJN,NJN-1985,-1,TRUE,TRUE,TRUE
BOS,117,CLE,115,198504250CLE,1985,0,CLE,CLE-1985,-2,TRUE,TRUE,TRUE
POR,101,LAL,125,198504270LAL,1985,1,LAL,LAL-1985,24,TRUE,TRUE,TRUE
DET,99,BOS,133,198504280BOS,1985,1,BOS,BOS-1985,34,TRUE,TRUE,TRUE
DET,114,BOS,121,198504300BOS,1985,1,BOS,BOS-1985,7,TRUE,TRUE,TRUE
POR,118,LAL,134,198504300LAL,1985,1,LAL,LAL-1985,16,TRUE,TRUE,TRUE
BOS,117,DET,125,198505020DET,1985,1,DET,DET-1985,8,TRUE,TRUE,TRUE
LAL,130,POR,126,198505030POR,1985,0,POR,POR-1985,-4,TRUE,TRUE,TRUE
BOS,99,DET,102,198505050DET,1985,1,DET,DET-1985,3,TRUE,TRUE,TRUE
LAL,107,POR,115,198505050POR,1985,1,POR,POR-1985,8,TRUE,TRUE,TRUE
POR,120,LAL,139,198505070LAL,1985,1,LAL,LAL-1985,19,TRUE,TRUE,TRUE
DET,123,BOS,130,198505080BOS,1985,1,BOS,BOS-1985,7,TRUE,TRUE,TRUE
