"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"6136",6543,"DEN",85,"LAC",87,"202201110LAC",2022,0,"DEN","DEN-2022",-2,FALSE
"6137",6544,"BOS",119,"IND",100,"202201120IND",2022,1,"BOS","BOS-2022",19,FALSE
"6138",6545,"CHO",109,"PHI",98,"202201120PHI",2022,1,"CHO","CHH-2022",11,FALSE
"6139",6546,"ORL",106,"WAS",112,"202201120WAS",2022,0,"ORL","ORL-2022",-6,FALSE
"6140",6547,"MIA",115,"ATL",91,"202201120ATL",2022,1,"MIA","MIA-2022",24,FALSE
"6141",6548,"DAL",85,"NYK",108,"202201120NYK",2022,0,"DAL","DAL-2022",-23,FALSE
"6142",6549,"HOU",128,"SAS",124,"202201120SAS",2022,1,"HOU","HOU-2022",4,FALSE
"6143",6550,"CLE",111,"UTA",91,"202201120UTA",2022,1,"CLE","CLE-2022",20,FALSE
"6144",6551,"BRK",138,"CHI",112,"202201120CHI",2022,1,"BRK","BRK-2022",26,FALSE
"6145",6552,"LAL",116,"SAC",125,"202201120SAC",2022,0,"LAL","LAL-2022",-9,FALSE
"6146",6553,"GSW",99,"MIL",118,"202201130MIL",2022,0,"GSW","GSW-2022",-19,FALSE
"6147",6554,"MIN",108,"MEM",116,"202201130MEM",2022,0,"MIN","MIN-2022",-8,FALSE
"6148",6555,"LAC",89,"NOP",113,"202201130NOP",2022,0,"LAC","LAC-2022",-24,FALSE
"6149",6556,"OKC",130,"BRK",109,"202201130BRK",2022,1,"OKC","OKC-2022",21,FALSE
"6150",6557,"POR",108,"DEN",140,"202201130DEN",2022,0,"POR","POR-2022",-32,FALSE
"6151",6558,"ORL",116,"CHO",109,"202201140CHO",2022,0,"CHO","CHH-2022",-7,FALSE
"6152",6559,"TOR",87,"DET",103,"202201140DET",2022,0,"TOR","TOR-2022",-16,FALSE
"6153",6560,"PHO",112,"IND",94,"202201140IND",2022,1,"PHO","PHO-2022",18,FALSE
"6154",6561,"BOS",99,"PHI",111,"202201140PHI",2022,0,"BOS","BOS-2022",-12,FALSE
"6155",6562,"GSW",138,"CHI",96,"202201140CHI",2022,1,"GSW","GSW-2022",42,FALSE
"6156",6563,"ATL",118,"MIA",124,"202201140MIA",2022,0,"ATL","ATL-2022",-6,FALSE
"6157",6564,"CLE",114,"SAS",109,"202201140SAS",2022,1,"CLE","CLE-2022",5,FALSE
"6158",6565,"DAL",112,"MEM",85,"202201140MEM",2022,1,"DAL","DAL-2022",27,FALSE
"6159",6566,"HOU",114,"SAC",126,"202201140SAC",2022,0,"HOU","HOU-2022",-12,FALSE
