"","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin"
"5706","MIL","136","HOU","143","202104290HOU",2021,0,"MIL","MIL-2021",-7
"5707","GSW","114","MIN","126","202104290MIN",2021,0,"GSW","GSW-2021",-12
"5708","TOR","111","DEN","121","202104290DEN",2021,0,"TOR","TOR-2021",-10
"5709","NOP","109","OKC","95","202104290OKC",2021,1,"NOP","NOP-2021",14
"5710","ATL","104","PHI","126","202104300PHI",2021,0,"ATL","ATL-2021",-22
"5711","SAS","140","BOS","143","202104300BOS",2021,0,"SAS","SAS-2021",-3
"5712","WAS","122","CLE","93","202104300CLE",2021,1,"WAS","WAS-2021",29
"5713","POR","128","BRK","109","202104300BRK",2021,1,"POR","POR-2021",19
"5714","ORL","75","MEM","92","202104300MEM",2021,0,"ORL","ORL-2021",-17
"5715","MIL","108","CHI","98","202104300CHI",2021,1,"MIL","MIL-2021",10
"5716","UTA","100","PHO","121","202104300PHO",2021,0,"UTA","UTA-2021",-21
