"","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin"
"5462","CHI","102","GSW","116","202103290GSW",2021,0,"CHI","CHI-2021",-14
"5463","MIL","105","LAC","129","202103290LAC",2021,0,"MIL","MIL-2021",-24
"5464","CHO","114","WAS","104","202103300WAS",2021,1,"CHO","CHH-2021",10
"5465","PHI","95","DEN","104","202103300DEN",2021,0,"PHI","PHI-2021",-9
"5466","ORL","103","LAC","96","202103300LAC",2021,1,"ORL","ORL-2021",7
"5467","ATL","110","PHO","117","202103300PHO",2021,0,"ATL","ATL-2021",-7
"5468","POR","124","DET","101","202103310DET",2021,1,"POR","POR-2021",23
"5469","MIA","92","IND","87","202103310IND",2021,1,"MIA","MIA-2021",5
"5470","DAL","113","BOS","108","202103310BOS",2021,1,"DAL","DAL-2021",5
"5471","HOU","108","BRK","120","202103310BRK",2021,0,"HOU","HOU-2021",-12
"5472","UTA","111","MEM","107","202103310MEM",2021,1,"UTA","UTA-2021",4
"5473","NYK","101","MIN","102","202103310MIN",2021,0,"NYK","NYK-2021",-1
"5474","TOR","103","OKC","113","202103310OKC",2021,0,"TOR","TOR-2021",-10
"5475","SAC","106","SAS","120","202103310SAS",2021,0,"SAC","SAC-2021",-14
"5476","MIL","112","LAL","97","202103310LAL",2021,1,"MIL","MIL-2021",15
"5477","CHI","116","PHO","121","202103310PHO",2021,0,"CHI","CHI-2021",-5
"5478","PHI","114","CLE","94","202104010CLE",2021,1,"PHI","PHI-2021",20
"5479","WAS","91","DET","120","202104010DET",2021,0,"WAS","WAS-2021",-29
"5480","CHO","89","BRK","111","202104010BRK",2021,0,"CHO","CHH-2021",-22
"5481","GSW","109","MIA","116","202104010MIA",2021,0,"GSW","GSW-2021",-7
"5482","ORL","115","NOP","110","202104010NOP",2021,1,"ORL","ORL-2021",5
"5483","ATL","134","SAS","129","202104010SAS",2021,1,"ATL","ATL-2021",5
"5484","DEN","101","LAC","94","202104010LAC",2021,1,"DEN","DEN-2021",7
"5485","GSW","77","TOR","130","202104020TOR",2021,0,"GSW","GSW-2021",-53
"5486","HOU","102","BOS","118","202104020BOS",2021,0,"HOU","HOU-2021",-16
"5487","DAL","99","NYK","86","202104020NYK",2021,1,"DAL","DAL-2021",13
"5488","CHO","114","IND","97","202104020IND",2021,1,"CHO","CHH-2021",17
"5489","MIN","108","MEM","120","202104020MEM",2021,0,"MIN","MIN-2021",-12
"5490","ATL","126","NOP","103","202104020NOP",2021,1,"ATL","ATL-2021",23
"5491","CHI","106","UTA","113","202104020UTA",2021,0,"CHI","CHI-2021",-7
"5492","OKC","103","PHO","140","202104020PHO",2021,0,"OKC","OKC-2021",-37
"5493","MIL","127","POR","109","202104020POR",2021,1,"MIL","MIL-2021",18
"5494","LAL","115","SAC","94","202104020SAC",2021,1,"LAL","LAL-2021",21
"5495","DAL","109","WAS","87","202104030WAS",2021,1,"DAL","DAL-2021",22
"5496","NYK","125","DET","81","202104030DET",2021,1,"NYK","NYK-2021",44
"5497","CLE","101","MIA","115","202104030MIA",2021,0,"CLE","CLE-2021",-14
"5498","MIN","113","PHI","122","202104030PHI",2021,0,"MIN","MIN-2021",-9
"5499","IND","139","SAS","133","202104030SAS",2021,1,"IND","IND-2021",6
"5500","ORL","91","UTA","137","202104030UTA",2021,0,"ORL","ORL-2021",-46
"5501","OKC","85","POR","133","202104030POR",2021,0,"OKC","OKC-2021",-48
"5502","MIL","129","SAC","128","202104030SAC",2021,1,"MIL","MIL-2021",1
"5503","BRK","107","CHI","115","202104040CHI",2021,0,"BRK","BRK-2021",-8
"5504","LAL","86","LAC","104","202104040LAC",2021,0,"LAL","LAL-2021",-18
"5505","CHO","86","BOS","116","202104040BOS",2021,0,"CHO","CHH-2021",-30
"5506","MEM","116","PHI","100","202104040PHI",2021,1,"MEM","MEM-2021",16
"5507","GSW","111","ATL","117","202104040ATL",2021,0,"GSW","GSW-2021",-6
"5508","NOP","122","HOU","115","202104040HOU",2021,1,"NOP","NOP-2021",7
"5509","ORL","109","DEN","119","202104040DEN",2021,0,"ORL","ORL-2021",-10
"5510","NYK","112","BRK","114","202104050BRK",2021,0,"NYK","NYK-2021",-2
"5511","UTA","103","DAL","111","202104050DAL",2021,0,"UTA","UTA-2021",-8
"5512","SAC","106","MIN","116","202104050MIN",2021,0,"SAC","SAC-2021",-10
"5513","DET","132","OKC","108","202104050OKC",2021,1,"DET","DET-2021",24
"5514","CLE","125","SAS","101","202104050SAS",2021,1,"CLE","CLE-2021",24
"5515","WAS","101","TOR","103","202104050TOR",2021,0,"WAS","WAS-2021",-2
"5516","PHO","133","HOU","130","202104050HOU",2021,1,"PHO","PHO-2021",3
"5517","CHI","113","IND","97","202104060IND",2021,1,"CHI","CHI-2021",16
"5518","NOP","107","ATL","123","202104060ATL",2021,0,"NOP","NOP-2021",-16
"5519","PHI","106","BOS","96","202104060BOS",2021,1,"PHI","PHI-2021",10
"5520","LAL","110","TOR","101","202104060TOR",2021,1,"LAL","LAL-2021",9
"5521","MEM","124","MIA","112","202104060MIA",2021,1,"MEM","MEM-2021",12
"5522","DET","119","DEN","134","202104060DEN",2021,0,"DET","DET-2021",-15
"5523","MIL","121","GSW","122","202104060GSW",2021,0,"MIL","MIL-2021",-1
"5524","POR","116","LAC","133","202104060LAC",2021,0,"POR","POR-2021",-17
"5525","MIN","137","IND","141","202104070IND",2021,0,"MIN","MIN-2021",-4
"5526","WAS","131","ORL","116","202104070ORL",2021,1,"WAS","WAS-2021",15
"5527","NYK","99","BOS","101","202104070BOS",2021,0,"NYK","NYK-2021",-2
"5528","NOP","111","BRK","139","202104070BRK",2021,0,"NOP","NOP-2021",-28
"5529","MEM","131","ATL","113","202104070ATL",2021,1,"MEM","MEM-2021",18
"5530","DAL","93","HOU","102","202104070HOU",2021,0,"DAL","DAL-2021",-9
"5531","CHO","113","OKC","102","202104070OKC",2021,1,"CHO","CHH-2021",11
"5532","SAS","96","DEN","106","202104070DEN",2021,0,"SAS","SAS-2021",-10
"5533","UTA","113","PHO","117","202104070PHO",2021,0,"UTA","UTA-2021",-4
"5534","LAL","104","MIA","110","202104080MIA",2021,0,"LAL","LAL-2021",-6
"5535","CHI","122","TOR","113","202104080TOR",2021,1,"CHI","CHI-2021",9
"5536","CLE","129","OKC","102","202104080OKC",2021,1,"CLE","CLE-2021",27
"5537","MIL","101","DAL","116","202104080DAL",2021,0,"MIL","MIL-2021",-15
"5538","PHO","103","LAC","113","202104080LAC",2021,0,"PHO","PHO-2021",-10
"5539","DET","113","SAC","101","202104080SAC",2021,1,"DET","DET-2021",12
"5540","POR","103","UTA","122","202104080UTA",2021,0,"POR","POR-2021",-19
"5541","IND","111","ORL","106","202104090ORL",2021,1,"IND","IND-2021",5
"5542","MIN","136","BOS","145","202104090BOS",2021,0,"MIN","MIN-2021",-9
"5543","MEM","129","NYK","133","202104090NYK",2021,0,"MEM","MEM-2021",-4
"5544","CHI","108","ATL","120","202104090ATL",2021,0,"CHI","CHI-2021",-12
"5545","PHI","94","NOP","101","202104090NOP",2021,0,"PHI","PHI-2021",-7
"5546","SAS","119","DEN","121","202104090DEN",2021,0,"SAS","SAS-2021",-2
"5547","CHO","127","MIL","119","202104090MIL",2021,1,"CHO","CHH-2021",8
"5548","WAS","110","GSW","107","202104090GSW",2021,1,"WAS","WAS-2021",3
"5549","HOU","109","LAC","126","202104090LAC",2021,0,"HOU","HOU-2021",-17
"5550","TOR","135","CLE","115","202104100CLE",2021,1,"TOR","TOR-2021",20
"5551","LAL","126","BRK","101","202104100BRK",2021,1,"LAL","LAL-2021",25
"5552","PHI","117","OKC","93","202104100OKC",2021,1,"PHI","PHI-2021",24
"5553","SAC","112","UTA","128","202104100UTA",2021,0,"SAC","SAC-2021",-16
"5554","HOU","109","GSW","125","202104100GSW",2021,0,"HOU","HOU-2021",-16
"5555","WAS","106","PHO","134","202104100PHO",2021,0,"WAS","WAS-2021",-28
"5556","DET","103","POR","118","202104100POR",2021,0,"DET","DET-2021",-15
"5557","ATL","105","CHO","101","202104110CHO",2021,0,"CHO","CHH-2021",-4
"5558","BOS","105","DEN","87","202104110DEN",2021,1,"BOS","BOS-2021",18
"5559","NOP","116","CLE","109","202104110CLE",2021,1,"NOP","NOP-2021",7
"5560","MIL","124","ORL","87","202104110ORL",2021,1,"MIL","MIL-2021",37
"5561","SAS","119","DAL","117","202104110DAL",2021,1,"SAS","SAS-2021",2
"5562","IND","132","MEM","125","202104110MEM",2021,1,"IND","IND-2021",7
"5563","CHI","117","MIN","121","202104110MIN",2021,0,"CHI","CHI-2021",-4
"5564","TOR","96","NYK","102","202104110NYK",2021,0,"TOR","TOR-2021",-6
"5565","DET","124","LAC","131","202104110LAC",2021,0,"DET","DET-2021",-7
"5566","MIA","107","POR","98","202104110POR",2021,1,"MIA","MIA-2021",9
"5567","PHI","113","DAL","95","202104120DAL",2021,1,"PHI","PHI-2021",18
"5568","LAL","96","NYK","111","202104120NYK",2021,0,"LAL","LAL-2021",-15
"5569","SAS","120","ORL","97","202104120ORL",2021,1,"SAS","SAS-2021",23
"5570","CHI","90","MEM","101","202104120MEM",2021,0,"CHI","CHI-2021",-11
"5571","SAC","110","NOP","117","202104120NOP",2021,0,"SAC","SAC-2021",-7
"5572","WAS","125","UTA","121","202104120UTA",2021,1,"WAS","WAS-2021",4
"5573","DEN","107","GSW","116","202104120GSW",2021,0,"DEN","DEN-2021",-9
"5574","HOU","120","PHO","126","202104120PHO",2021,0,"HOU","HOU-2021",-6
"5575","BRK","127","MIN","97","202104130MIN",2021,1,"BRK","BRK-2021",30
"5576","LAC","126","IND","115","202104130IND",2021,1,"LAC","LAC-2021",11
"5577","ATL","108","TOR","103","202104130TOR",2021,1,"ATL","ATL-2021",5
"5578","LAL","101","CHO","93","202104130CHO",2021,0,"CHO","CHH-2021",-8
"5579","OKC","96","UTA","106","202104130UTA",2021,0,"OKC","OKC-2021",-10
"5580","MIA","86","PHO","106","202104130PHO",2021,0,"MIA","MIA-2021",-20
"5581","BOS","116","POR","115","202104130POR",2021,1,"BOS","BOS-2021",1
"5582","MIL","130","MIN","105","202104140MIN",2021,1,"MIL","MIL-2021",25
"5583","CLE","103","CHO","90","202104140CHO",2021,0,"CHO","CHH-2021",-13
"5584","BRK","117","PHI","123","202104140PHI",2021,0,"BRK","BRK-2021",-6
"5585","SAS","112","TOR","117","202104140TOR",2021,0,"SAS","SAS-2021",-5
"5586","ORL","115","CHI","106","202104140CHI",2021,1,"ORL","ORL-2021",9
"5587","LAC","100","DET","98","202104140DET",2021,1,"LAC","LAC-2021",2
"5588","NYK","116","NOP","106","202104140NOP",2021,1,"NYK","NYK-2021",10
"5589","IND","132","HOU","124","202104140HOU",2021,1,"IND","IND-2021",8
