"","...1","Visitor/Neutral","Visitor Points","Home/Neutral","Home Points","id","year","win","team","season_id","margin","playoff"
"246",3628,"BOS",94,"GSW",104,"202206130GSW",2022,1,"GSW","GSW-2022",10,TRUE
"247",3629,"GSW",103,"BOS",90,"202206160BOS",2022,0,"BOS","BOS-2022",-13,TRUE
"248",4690,"UTA",125,"DEN",135,"202008170DEN",2020,0,"UTA","UTA-2020",-10,TRUE
"249",4691,"BRK",110,"TOR",134,"202008170TOR",2020,0,"BRK","BRK-2020",-24,TRUE
"250",4692,"PHI",101,"BOS",109,"202008170BOS",2020,0,"PHI","PHI-2020",-8,TRUE
"251",4693,"DAL",110,"LAC",118,"202008170LAC",2020,0,"DAL","DAL-2020",-8,TRUE
"252",4694,"ORL",122,"MIL",110,"202008180MIL",2020,1,"ORL","ORL-2020",12,TRUE
"253",4695,"MIA",113,"IND",101,"202008180IND",2020,1,"MIA","MIA-2020",12,TRUE
"254",4696,"OKC",108,"HOU",123,"202008180HOU",2020,0,"OKC","OKC-2020",-15,TRUE
"255",4697,"POR",100,"LAL",93,"202008180LAL",2020,1,"POR","POR-2020",7,TRUE
"256",4698,"BRK",99,"TOR",104,"202008190TOR",2020,0,"BRK","BRK-2020",-5,TRUE
"257",4699,"UTA",124,"DEN",105,"202008190DEN",2020,1,"UTA","UTA-2020",19,TRUE
"258",4700,"PHI",101,"BOS",128,"202008190BOS",2020,0,"PHI","PHI-2020",-27,TRUE
"259",4701,"DAL",127,"LAC",114,"202008190LAC",2020,1,"DAL","DAL-2020",13,TRUE
"260",4702,"MIA",109,"IND",100,"202008200IND",2020,1,"MIA","MIA-2020",9,TRUE
"261",4703,"OKC",98,"HOU",111,"202008200HOU",2020,0,"OKC","OKC-2020",-13,TRUE
"262",4704,"ORL",96,"MIL",111,"202008200MIL",2020,0,"ORL","ORL-2020",-15,TRUE
"263",4705,"POR",88,"LAL",111,"202008200LAL",2020,0,"POR","POR-2020",-23,TRUE
